In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32123347	ror2_boss_artifact_takeHit_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_takeHit_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_takehit\ror2_boss_artifact_takeHit_01		39373
	62920004	ror2_boss_artifact_attack1_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_attack1_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_attack1_explode\ror2_boss_artifact_attack1_explode_01		21604
	163839285	ror2_boss_artifact_loop_level2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_loop_level2_01_D7CF0DB2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\ror2_boss_artifact_loop_level2_01		73972
	223013683	ror2_boss_artifact_loop_level3_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_loop_level3_01_D7CF0DB2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\ror2_boss_artifact_loop_level3_01		48091
	247428051	ror2_boss_artifact_VO_idle_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_VO_idle_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_VO\artifactBoss_idle_VO\ror2_boss_artifact_VO_idle_01		39716
	256853744	ror2_boss_artifact_attack1_flightLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_attack1_flightLoop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_attack1_flightLoop\ror2_boss_artifact_attack1_flightLoop_01		85236
	320202345	ror2_boss_artifact_attack1_flightLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_attack1_flightLoop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_attack1_flightLoop\ror2_boss_artifact_attack1_flightLoop_03		76791
	366143097	ror2_boss_artifact_VO_idle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_VO_idle_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_VO\artifactBoss_idle_VO\ror2_boss_artifact_VO_idle_03		41326
	420940519	ror2_boss_artifact_attack1_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_attack1_shoot_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_attack1_shoot\ror2_boss_artifact_attack1_shoot_02		14015
	431335074	ror2_boss_artifact_attack1_explode_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_artifact_attack1_explode_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Artifact\artifactBoss\artifactBoss_attack1_explode\ror2_boss_artifact_attack1_explode_02		20463
