In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14003335	ror2_boss_grandparent_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_impact\ror2_boss_grandparent_impact_02		18957
	45528325	ror2_boss_grandparent_attack1_windUp_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack1_windUp_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack1_windUp\ror2_boss_grandparent_attack1_windUp_04		54558
	63757150	ror2_boss_grandparent_attack3_sun_destroy_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack3_sun_destroy_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack3_sun_destroy\ror2_boss_grandparent_attack3_sun_destroy_01		52841
	97515559	ror2_boss_grandparent_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_idle_VO_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_VO\grandParent_idle_VO\ror2_boss_grandparent_idle_VO_01		44147
	115903325	ror2_boss_grandparent_attack1_boulderSmall_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack1_boulderSmall_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack1_boulderSmall_impact\ror2_boss_grandparent_attack1_boulderSmall_impact_02		24825
	128322875	ror2_boss_grandparent_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_impact\ror2_boss_grandparent_impact_03		19565
	148165754	ror2_boss_grandparent_attack3_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack3_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack3_spawn\ror2_boss_grandparent_attack3_spawn_01		74520
	158838338	ror2_boss_grandparent_attack1_boulderLarge_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack1_boulderLarge_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack1_boulderLarge_impact\ror2_boss_grandparent_attack1_boulderLarge_impact_05		70589
	164572626	ror2_boss_grandparent_attack1_throw_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack1_throw_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack1_throw\ror2_boss_grandparent_attack1_throw_02		34769
	198099909	ror2_boss_grandparent_attack3_sun_activeLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_grandparent_attack3_sun_activeLoop_01_D7CF0DB2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Grandparent2\grandParent\grandParent_attack3_sun_activeLoop\ror2_boss_grandparent_attack3_sun_activeLoop_01		46236
