In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52671	gravekeeper_attack2_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_shoot_01_BEE7E72E.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_shoot_01		45115
	2460991	gravekeeper_attack1_wisp_launch_VO_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_VO_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_wispLaunch_VO\gravekeeper_attack1_wisp_launch_VO_05		26728
	16906759	gravekeeper_attack2_flyLoop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_flyLoop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_fly_loop\gravekeeper_attack2_flyLoop_04		10662
	30173697	gravekeeper_twitch_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_twitch_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_twitch\gravekeeper_twitch_01		14443
	38158233	gravekeeper_idleLoop_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_idleLoop_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_loop\gravekeeper_idleLoop_05		111805
	72047663	gravekeeper_attack1_wisp_launch_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_VO_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_wispLaunch_VO\gravekeeper_attack1_wisp_launch_VO_01		24396
	80768929	gravekeeper_attack1_close_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_close_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_close_01		52296
	82630605	gravekeeper_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_spawn_01		106680
	100889692	gravekeeper_idleLoop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_idleLoop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_loop\gravekeeper_idleLoop_04		119836
	101500175	gravekeeper_attack1_wisp_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_02		23028
	131807597	gravekeeper_attack2_shoot_chain_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_shoot_chain_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_shoot_singleChain\gravekeeper_attack2_shoot_chain_03		11189
	131842749	gravekeeper_attack1_wisp_explo_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_10		25843
	143248494	gravekeeper_attack2_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_impact\gravekeeper_attack2_impact_01		17412
	157685562	gravekeeper_impact_body_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_impact_body_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_impact_body\gravekeeper_impact_body_04		14674
	173637394	gravekeeper_jump_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_jump_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_jump\gravekeeper_jump_03		38825
	194870716	gravekeeper_attack1_wisp_explo_09	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_09_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_09		22981
	207285980	gravekeeper_attack1_wisp_explo_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_07		25393
	212249704	gravekeeper_attack1_wisp_flyLoop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_flyLoop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_fly_loop\gravekeeper_attack1_wisp_flyLoop_04		55905
	227735286	gravekeeper_attack2_flyLoop_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_flyLoop_07_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_fly_loop\gravekeeper_attack2_flyLoop_07		10323
	243118158	gravekeeper_attack2_flyLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_flyLoop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_fly_loop\gravekeeper_attack2_flyLoop_01		9113
	248546882	gravekeeper_attack1_wisp_launch_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_fire\gravekeeper_attack1_wisp_launch_04		26934
	249052341	gravekeeper_attack1_wisp_launch_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_fire\gravekeeper_attack1_wisp_launch_02		30665
	252695136	gravekeeper_twitch_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_twitch_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_twitch\gravekeeper_twitch_06		15619
	253947531	gravekeeper_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_step\gravekeeper_step_01		19942
	260324728	gravekeeper_attack2_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_impact\gravekeeper_attack2_impact_03		19346
	302968437	gravekeeper_attack1_wisp_launch_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_VO_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_wispLaunch_VO\gravekeeper_attack1_wisp_launch_VO_04		21867
	330963631	gravekeeper_attack2_flyLoop_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_flyLoop_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_fly_loop\gravekeeper_attack2_flyLoop_06		11204
	358301657	gravekeeper_attack1_wisp_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_04		20500
	359981387	gravekeeper_land_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_land_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_land\gravekeeper_land_04		36185
	372408151	gravekeeper_idleLoop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_idleLoop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_loop\gravekeeper_idleLoop_02		108247
	384162251	gravekeeper_attack1_wisp_flyLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_flyLoop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_fly_loop\gravekeeper_attack1_wisp_flyLoop_01		69868
	387511493	gravekeeper_attack1_wisp_launch_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_VO_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_wispLaunch_VO\gravekeeper_attack1_wisp_launch_VO_03		24600
	396944390	gravekeeper_attack1_wisp_explo_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_01		24015
	408044694	gravekeeper_impact_canister_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_impact_canister_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_impact_canister\gravekeeper_impact_canister_03		11486
	446955906	gravekeeper_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_step_02_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_step\gravekeeper_step_02		21198
	450582963	gravekeeper_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_idle_VO_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_VO\gravekeeper_idle_VO_01		65639
	455597582	gravekeeper_attack1_wisp_explo_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_explo_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_explode\gravekeeper_attack1_wisp_explo_05		21452
	470115845	gravekeeper_attack1_wisp_launch_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack1_wisp_launch_VO_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack1_wispLaunch_VO\gravekeeper_attack1_wisp_launch_VO_02		27903
	488227751	gravekeeper_impact_body_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_impact_body_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_impact_body\gravekeeper_impact_body_05		14570
	494673707	gravekeeper_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_step_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_step\gravekeeper_step_06		19267
	502193675	gravekeeper_twitch_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_twitch_07_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_idle_twitch\gravekeeper_twitch_07		16639
	525936676	gravekeeper_attack2_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\gravekeeper_attack2_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Gravekeeper\Gravekeeper\gravekeeper_attack2_impact\gravekeeper_attack2_impact_02		17384
