In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	137020	ror2_boss_moonBrother_impact_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_impact_08_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_impact\ror2_boss_moonBrother_impact_08		9760
	19083296	ror2_boss_moonBrother_step_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_step_08_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_step\ror2_boss_moonBrother_step_08		21638
	51872549	boss_moonBrother_phaseJump_kneel	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phaseJump_kneel_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_phaseJump\boss_moonBrother_phaseJump_kneel		21196
	52300442	ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_itemSuck\boss_moonBrother_phase4_itemSuck_stealBackSingle\ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_02		10712
	77415082	ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_itemSuck\boss_moonBrother_phase4_itemSuck_stealBackSingle\ror2_boss_moonBrother_phase4_itemSuck_stealBackSingle_03		10029
	82934763	ror2_boss_moonBrother_sprint_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_sprint_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_sprint\ror2_boss_moonBrother_sprint_05		19935
	89994758	ror2_boss_moonBrother_sprint_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_sprint_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_sprint\ror2_boss_moonBrother_sprint_07		19344
	115915365	ror2_boss_moonBrother_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_death_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_death\ror2_boss_moonBrother_death_01		452098
	142299467	boss_moonBrother_phaseJump_land_impact	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phaseJump_land_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_phaseJump\boss_moonBrother_phaseJump_land_impact		78863
	165797511	ror2_boss_moonBrother_impact_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_impact_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_impact\ror2_boss_moonBrother_impact_06		8907
	174196845	ror2_boss_moonBrother_phase4_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phase4_step_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_phase4_step\ror2_boss_moonBrother_phase4_step_03		27319
	176629341	ror2_boss_moonBrother_phase4_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phase4_step_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_phase4_step\ror2_boss_moonBrother_phase4_step_06		28683
	185541283	ror2_boss_moonBrother_phase4_step_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_phase4_step_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_steps\boss_moonBrother_phase4_step\ror2_boss_moonBrother_phase4_step_04		31811
	192254954	ror2_boss_moonBrother_swing_horizontal_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_moonBrother_swing_horizontal_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_MoonBrother\moonBrother\moonBrother_swing_horizontal\ror2_boss_moonBrother_swing_horizontal_02		42513
