In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2962883	ror2_boss_roboball_attack2_mini_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack2_mini_spawn_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_mini\roboBall_attack2_mini_spawn\ror2_boss_roboball_attack2_mini_spawn_02		33384
	17447013	ror2_boss_roboball_attack1_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack1_shoot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack1_shoot\ror2_boss_roboball_attack1_shoot_01		17267
	29191219	ror2_boss_roboball_attack3_chargeup_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack3_chargeup_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack3_gravityBump_charge\ror2_boss_roboball_attack3_chargeup_01		57997
	38990730	ror2_boss_roboball_idle_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_idle_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_idle_loop\ror2_boss_roboball_idle_loop_01		86183
	52621131	ror2_boss_roboball_attack1_explo_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack1_explo_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack1_explode\ror2_boss_roboball_attack1_explo_05		29938
	53925123	ror2_boss_roboball_attack2_mini_laser_stop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack2_mini_laser_stop_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_mini\roboBall_attack2_mini_laser_start\ror2_boss_roboball_attack2_mini_laser_stop_01		29979
	59920609	ror2_boss_roboball_spawn_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_spawn_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_spawn\ror2_boss_roboball_spawn_03		62173
	70118196	ror2_boss_roboball_death_small_explo_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_small_explo_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_small_explo\ror2_boss_roboball_death_small_explo_01		21225
	74369447	ror2_boss_roboball_death_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_start_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_start\ror2_boss_roboball_death_start_01		92381
	105614595	ror2_boss_roboball_mini_active_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_mini_active_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_mini\roboBall_attack2_mini_active_loop\ror2_boss_roboball_mini_active_loop_01		75464
	106014666	ror2_boss_roboball_death_small_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_small_explo_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_small_explo\ror2_boss_roboball_death_small_explo_02		19940
	114471980	ror2_boss_roboball_idle_VO_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_idle_VO_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_VO\roboBall_idle_VO\ror2_boss_roboball_idle_VO_05		51353
	126185796	ror2_boss_roboball_death_small_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_small_explo_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_small_explo\ror2_boss_roboball_death_small_explo_04		20410
	153214265	ror2_boss_roboball_idle_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_idle_VO_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_VO\roboBall_idle_VO\ror2_boss_roboball_idle_VO_03		65340
	155054778	ror2_boss_roboball_idle_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_idle_VO_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_VO\roboBall_idle_VO\ror2_boss_roboball_idle_VO_02		52962
	161300977	ror2_boss_roboball_death_final_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_final_explo_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_final_explo\ror2_boss_roboball_death_final_explo_02		91460
	185914626	ror2_boss_roboball_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_idle_VO_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_VO\roboBall_idle_VO\ror2_boss_roboball_idle_VO_01		72548
	219929863	ror2_boss_roboball_attack2_mini_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack2_mini_death_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_mini\roboBall_attack2_mini_death\ror2_boss_roboball_attack2_mini_death_01		53458
	233289674	ror2_boss_roboball_attack2_mini_laser_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack2_mini_laser_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_mini\roboBall_attack2_mini_laser_loop\ror2_boss_roboball_attack2_mini_laser_loop_01		29749
	234219813	ror2_boss_roboball_death_small_explo_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_death_small_explo_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_death_small_explo\ror2_boss_roboball_death_small_explo_03		25016
	234793547	ror2_boss_roboball_attack3_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack3_explo_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack3_gravityBump_explo\ror2_boss_roboball_attack3_explo_02		82873
	261058870	ror2_boss_roboball_attack1_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack1_explo_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack1_explode\ror2_boss_roboball_attack1_explo_02		26699
	274966364	ror2_boss_roboball_attack1_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack1_explo_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack1_explode\ror2_boss_roboball_attack1_explo_04		26132
	331720904	ror2_boss_roboball_attack1_chargeup_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_roboball_attack1_chargeup_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_RoboBall\roboBall\roboBall_attack1_charge\ror2_boss_roboball_attack1_chargeup_02		28530
