In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7267588	RoR2_boss_scav_backpack_open_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_backpack_open_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_backpack_open\RoR2_boss_scav_backpack_open_01		21928
	17733741	RoR2_boss_scav_idle_VO_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_idle_VO_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_idle_VO\RoR2_boss_scav_idle_VO_05		27720
	35818695	RoR2_boss_scav_attack1_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack1_shoot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack1_shoot\RoR2_boss_scav_attack1_shoot_01		14693
	43569069	RoR2_boss_scav_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_step\RoR2_boss_scav_step_01		2751
	55141937	RoR2_boss_scav_attack2_chargeup_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack2_chargeup_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack2_chargeup\RoR2_boss_scav_attack2_chargeup_01		20592
	58530569	RoR2_boss_scav_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_impact\RoR2_boss_scav_impact_05		7680
	67581238	RoR2_boss_scav_attack1_explode_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack1_explode_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack1_explode\RoR2_boss_scav_attack1_explode_04		12383
	84164917	RoR2_boss_scav_attack2_fly_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack2_fly_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack2_fly_loop\RoR2_boss_scav_attack2_fly_loop_01		18390
	97058665	RoR2_boss_scav_death_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_death_VO_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_death_VO\RoR2_boss_scav_death_VO_03		24159
	196659052	RoR2_boss_scav_idle_VO_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_idle_VO_08_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_idle_VO\RoR2_boss_scav_idle_VO_08		14340
	209050825	RoR2_boss_scav_attack1_chargeUp_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack1_chargeUp_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack1_chargeup\RoR2_boss_scav_attack1_chargeUp_02		26798
	215272097	RoR2_boss_scav_impact_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_impact_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_impact\RoR2_boss_scav_impact_07		7033
	222641630	RoR2_boss_scav_attack1_chargeUp_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack1_chargeUp_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack1_chargeup\RoR2_boss_scav_attack1_chargeUp_03		26545
	239858849	RoR2_boss_scav_attack1_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack1_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack1_shoot\RoR2_boss_scav_attack1_shoot_03		12892
	253403942	RoR2_boss_scav_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_impact\RoR2_boss_scav_impact_04		6673
	265907922	RoR2_boss_scav_step_09	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_step_09_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_step\RoR2_boss_scav_step_09		3183
	269329923	RoR2_boss_scav_attack_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack_VO_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_attack_VO\RoR2_boss_scav_attack_VO_04		13620
	273898497	RoR2_boss_scav_attack3_itemPull_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_attack3_itemPull_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_attack3_itemPull\RoR2_boss_scav_attack3_itemPull_02		11737
	279973350	RoR2_boss_scav_idle_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_idle_VO_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_idle_VO\RoR2_boss_scav_idle_VO_03		32003
	299147800	RoR2_boss_scav_idle_VO_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_boss_scav_idle_VO_07_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_Scav\scav\scav_VO\scav_idle_VO\RoR2_boss_scav_idle_VO_07		19600
