In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	36795434	ror2_boss_majorConstruct_m1_laser_end_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_m1_laser_end_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_m1_laser_end\ror2_boss_majorConstruct_m1_laser_end_01		26810
	43478874	ror2_boss_majorConstruct_shift_lower_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_shift_lower_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\ror2_boss_majorConstruct_shift_lower_01		86425
	50088694	ror2_boss_majorConstruct_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_impact_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_impact\ror2_boss_majorConstruct_impact_01		9683
	111884946	ror2_boss_majorConstruct_R_pulse_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_R_pulse_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_R_pulse\ror2_boss_majorConstruct_R_pulse_03		28331
	180812142	ror2_boss_majorConstruct_impact_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_impact_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_impact\ror2_boss_majorConstruct_impact_06		9641
	197728367	ror2_boss_majorConstruct_R_pulse_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_R_pulse_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_R_pulse\ror2_boss_majorConstruct_R_pulse_01		30272
	234378182	ror2_boss_majorConstruct_m1_laser_chargeUp_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_m1_laser_chargeUp_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_m1_laser_chargeShoot\ror2_boss_majorConstruct_m1_laser_chargeUp_01		47586
	281898313	ror2_boss_majorConstruct_m1_laser_end_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_m1_laser_end_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_m1_laser_end\ror2_boss_majorConstruct_m1_laser_end_03		25640
	392504916	ror2_boss_majorConstruct_spawn_rumble_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_spawn_rumble_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_spawn_rumble\ror2_boss_majorConstruct_spawn_rumble_01		116025
	414781169	ror2_boss_majorConstruct_spawn_surface_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_majorConstruct_spawn_surface_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_majorConstruct\majorConstruct\majorConstruct_spawn_surface\ror2_boss_majorConstruct_spawn_surface_03		49640
