In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1504773	ror2_boss_voidcrab_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_step_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_step\ror2_boss_voidcrab_step_06		23672
	34324457	ror2_boss_voidcrab_idle_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_idle_VO_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_VO\voidRaid_idle_VO\ror2_boss_voidcrab_idle_VO_03		77616
	116715037	ror2_boss_voidcrab_snipe_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_snipe_impact_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_snipe\voidRaid_snipe_impact\ror2_boss_voidcrab_snipe_impact_01		19250
	120966898	ror2_boss_voidcrab_m1_explode_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_m1_explode_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_m1_missiles\voidRaid_m1_explode\ror2_boss_voidcrab_m1_explode_02		11957
	123983748	ror2_boss_voidcrab_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_step_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_step\ror2_boss_voidcrab_step_01		30218
	149049742	ror2_boss_voidcrab_superLaser_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_superLaser_start_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_superLaser\voidRaid_superLaser_start\ror2_boss_voidcrab_superLaser_start_01		75435
	149339676	ror2_boss_voidcrab_snipe_pool_damage_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_snipe_pool_damage_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_snipe\voidRaid_snipe_pool_damage\ror2_boss_voidcrab_snipe_pool_damage_02		15131
	150364889	ror2_boss_voidcrab_m1_flight_loop_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_m1_flight_loop_v2_01_86AA15E4.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_m1_missiles\voidRaid_m1_flight_loop\ror2_boss_voidcrab_m1_flight_loop_v2_01		50122
	157943957	ror2_boss_voidcrab_m1_chargeup_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_m1_chargeup_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_m1_missiles\voidRaid_m1_chargeup\ror2_boss_voidcrab_m1_chargeup_02		23704
	185052895	ror2_boss_voidcrab_snipe_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_boss_voidcrab_snipe_impact_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Boss\Boss_VoidRaid\voidRaid\voidRaid_snipe\voidRaid_snipe_impact\ror2_boss_voidcrab_snipe_impact_03		19051
