Event	ID	Name			Wwise Object Path	Notes
	1488967	Play_flyingVermin_idle_VO			\Split Content\Enemies\Mob_flyingVermin\Play_flyingVermin_idle_VO	
	5845797	Play_healing_drone_heal_loop			\Default Work Unit\CHAR\Drone_Healing\Play_healing_drone_heal_loop	
	7429106	Play_item_proc_missile_fire			\Default Work Unit\ITEMS\Play_item_proc_missile_fire	
	8118127	Play_captain_drone_quick_move			\Split Content\Survivors\captain\Play_captain_drone_quick_move	
	10812723	Play_item_proc_extraLife			\Default Work Unit\ITEMS\Play_item_proc_extraLife	
	14820277	Play_imp_overlord_attack1_throw			\Default Work Unit\ENEMY\impOverlord\Play_imp_overlord_attack1_throw	
	19266142	Play_heretic_sprint_start			\Split Content\Survivors\heretic\Play_heretic_sprint_start	
	19433626	Play_grandparent_rotate			\Split Content\Enemies\Boss_Grandparent\Play_grandparent_rotate	
	23070305	Play_nullifier_step			\Split Content\Enemies\Mob_nullifier\Play_nullifier_step	
	27046646	Play_voidRaid_fog_nullWard_loop			\Split Content\Enemies\Boss_voidRaid\Play_voidRaid_fog_nullWard_loop	
	28723904	Play_UI_artifactDeselect			\Default Work Unit\UI\Play_UI_artifactDeselect	
	38798342	Play_AMB_zone_tundra			\Default Work Unit\ENVIRONMENT\AMB\AMB_events\Play_AMB_zone_tundra	
	41785499	Play_voidRaid_fog_chargeUp			\Split Content\Enemies\Boss_voidRaid\Play_voidRaid_fog_chargeUp	
	48308530	Play_gravekeeper_attack1_fly_loop			\Split Content\Enemies\Boss_Gravekeeper\Play_gravekeeper_attack1_fly_loop	
	48852143	Play_heretic_squawk			\Split Content\Survivors\heretic\Play_heretic_squawk	
	49902816	Play_item_proc_scrapGoop_consume			\Split Content\Items\proc_scrapGoop\Play_item_proc_scrapGoop_consume	
	51964803	Stop_scav_attack2_fly_loop			\Split Content\Enemies\Boss_Scav\Stop_scav_attack2_fly_loop	
	52008113	Play_imp_idle_VO			\Default Work Unit\ENEMY\imp\Play_imp_idle_VO	
	52277663	Play_item_proc_squidTurret_shoot			\Split Content\Items\proc_squidTurret\Play_item_proc_squidTurret_shoot	
	53631743	Play_loader_m2_travel_loop			\Split Content\Survivors\loader\Play_loader_m2_travel_loop	
	54162858	Play_ui_obj_nullWard_idle_loop			\Split Content\Objects\obj_nullWard\Play_ui_obj_nullWard_idle_loop	
	54186637	Play_titanboss_idle_loop			\Default Work Unit\ENEMY\titanBoss\Play_titanboss_idle_loop	
	56354104	Play_env_moon_planet_destroying_loop			\Split Content\Environment\zone_moon\Play_env_moon_planet_destroying_loop	
	56392161	Play_AMB_zone_desert			\Default Work Unit\ENVIRONMENT\AMB\AMB_events\Play_AMB_zone_desert	
	56999587	Play_lunar_wisp_attack1_windLoop			\Split Content\Enemies\Mob_lunarWisp\Play_lunar_wisp_attack1_windLoop	
	58834266	Play_captain_m2_tazer_impact			\Split Content\Survivors\captain\Play_captain_m2_tazer_impact	
	65047742	Stop_railgunner_R_gun_rebooting_loop			\Split Content\Survivors\railgunner\Stop_railgunner_R_gun_rebooting_loop	
	66656691	Play_loader_R_variant_whooshDown			\Split Content\Survivors\loader\Play_loader_R_variant_whooshDown	
	68402651	Play_merc_shift_slice			\Default Work Unit\CHAR\Merc\Play_merc_shift_slice	
	70111447	Play_UI_crit			\Default Work Unit\UI\Play_UI_crit	
	71177277	Play_artifactBoss_attack1_explode			\Split Content\Enemies\Boss_Artifact\Play_artifactBoss_attack1_explode	
	74455152	Play_UI_item_land_tier3			\Default Work Unit\UI\Play_UI_item_land_tier3	
	74455153	Play_UI_item_land_tier2			\Default Work Unit\UI\Play_UI_item_land_tier2	
	74455154	Play_UI_item_land_tier1			\Default Work Unit\UI\Play_UI_item_land_tier1	
	79300247	Stop_huntress_R_rain_loop			\Default Work Unit\CHAR\Huntress\Stop_huntress_R_rain_loop	
	81910470	Play_char_land			\Default Work Unit\CHAR\Play_char_land	
	87746312	Stop_artifactBoss_attack1_flightLoop			\Split Content\Enemies\Boss_Artifact\Stop_artifactBoss_attack1_flightLoop	
	88293954	Play_UI_arenaMode_wave_start			\Default Work Unit\UI\ArenaMode\Play_UI_arenaMode_wave_start	
	89410791	Play_railgunner_R_gun_swap			\Split Content\Survivors\railgunner\Play_railgunner_R_gun_swap	
	91220880	Play_lunar_exploder_m1_impact			\Split Content\Enemies\Mob_lunarExploder\Play_lunar_exploder_m1_impact	
	91875145	Play_lemurianBruiser_m1_fly_loop			\Default Work Unit\ENEMY\lemuriamBruiser\Play_lemurianBruiser_m1_fly_loop	
	92299020	Play_voidDevastator_spawn_loop			\Split Content\Enemies\Mob_voidDevastator\Play_voidDevastator_spawn_loop	
	101148513	Play_hermitCrab_spawn			\Default Work Unit\ENEMY\hermitCrab\Play_hermitCrab_spawn	
	102085366	Play_minorConstruct_attack_bodyOpen			\Split Content\Enemies\Mob_minorConstruct\Play_minorConstruct_attack_bodyOpen	
	103882784	Play_merc_utility_variant_buildup			\Default Work Unit\CHAR\Merc\Play_merc_utility_variant_buildup	
	106926523	Play_UI_commandHUD_appear			\Default Work Unit\UI\Play_UI_commandHUD_appear	
	108782469	Play_voidDevastator_spawn_land			\Split Content\Enemies\Mob_voidDevastator\Play_voidDevastator_spawn_land	
	115213505	Play_mage_R_end			\Default Work Unit\CHAR\Mage\Play_mage_R_end	
	116129673	Stop_Ambience_loop			\Default Work Unit\ENVIRONMENT\AMB\AMB_events\Stop_Ambience_loop	Failsafe event to stop Ambience loops
	121244671	Play_blindVermin_impact			\Split Content\Enemies\Mob_blindVermin\Play_blindVermin_impact	
	124225148	Play_grandParent_attack1_boulderLarge_impact			\Split Content\Enemies\Boss_Grandparent\Play_grandParent_attack1_boulderLarge_impact	
	132913361	Play_scav_spawn			\Split Content\Enemies\Boss_Scav\Play_scav_spawn	
	145936464	Stop_item_void_mushroom_loop			\Split Content\Items\void_items\item_void_mushroom\Stop_item_void_mushroom_loop	
	146656078	Play_item_use_lighningArm			\Default Work Unit\ITEMS\Play_item_use_lighningArm	
	149370750	Play_item_use_meteor_storm_end			\Default Work Unit\ITEMS\Play_item_use_meteor_storm_end	
	151413227	Play_lunar_wisp_attack2_windUp			\Split Content\Enemies\Mob_lunarWisp\Play_lunar_wisp_attack2_windUp	
	153587310	Stop_huntress_m2_flight_loop			\Default Work Unit\CHAR\Huntress\Stop_huntress_m2_flight_loop	
	156414913	Play_wDroneDeath			\Default Work Unit\CHAR\Drone\Play_wDroneDeath	This sound will play when the commando uses his shift ability.
	156474425	Play_item_proc_ghostOnKill			\Default Work Unit\ITEMS\Play_item_proc_ghostOnKill	
	157111274	Play_gravekeeper_attack2_shoot_singleChain			\Split Content\Enemies\Boss_Gravekeeper\Play_gravekeeper_attack2_shoot_singleChain	
	158852972	Play_arenaCrab_idle_VO			\Split Content\Enemies\Mob_arenaCrab\Play_arenaCrab_idle_VO	
	167233812	Stop_huntress_R_aim_loop			\Default Work Unit\CHAR\Huntress\Stop_huntress_R_aim_loop	
	167284828	Stop_majorConstruct_m1_laser_loop			\Split Content\Enemies\Boss_majorConstruct\Stop_majorConstruct_m1_laser_loop	
	169204410	Play_item_use_EMPScanner_activate			\Default Work Unit\ITEMS\Play_item_use_EMPScanner_activate	
