In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	81098497	ror2_arenaMode_crab_land_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_land_04_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_land\ror2_arenaMode_crab_land_04		9697
	86486814	ror2_arenaMode_crab_swim_stroke_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_swim_stroke_04_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_stroke\ror2_arenaMode_crab_swim_stroke_04		16228
	202759527	ror2_arenaMode_crab_swim_stroke_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_swim_stroke_01_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_stroke\ror2_arenaMode_crab_swim_stroke_01		15508
	205162639	ror2_arenaMode_crab_land_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_land_02_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_land\ror2_arenaMode_crab_land_02		6658
	217882227	ror2_arenaMode_crab_VO_idle_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_VO_idle_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_VO\arenaCrab_idle_VO\ror2_arenaMode_crab_VO_idle_05		14102
	255858007	ror2_arenaMode_crab_uproot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_uproot_03_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_uproot\ror2_arenaMode_crab_uproot_03		29378
	264251168	ror2_arenaMode_crab_swim_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_swim_loop_04_E0332D5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_loop\ror2_arenaMode_crab_swim_loop_04		45680
	299291535	ror2_arenaMode_crab_land_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_land_06_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_land\ror2_arenaMode_crab_land_06		8815
	321033627	ror2_arenaMode_crab_plant_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_plant_02_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_plant\ror2_arenaMode_crab_plant_02		23469
	339265654	ror2_arenaMode_crab_swim_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_swim_loop_01_E0332D5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_loop\ror2_arenaMode_crab_swim_loop_01		48248
	521013358	ror2_arenaMode_crab_uproot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_uproot_01_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_uproot\ror2_arenaMode_crab_uproot_01		25606
	532422489	ror2_arenaMode_crab_uproot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_uproot_04_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_uproot\ror2_arenaMode_crab_uproot_04		30369
	587389301	ror2_arenaMode_crab_VO_idle_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_VO_idle_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_VO\arenaCrab_idle_VO\ror2_arenaMode_crab_VO_idle_04		27189
	604149902	ror2_arenaMode_crab_swim_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_swim_loop_02_E0332D5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_swim_loop\ror2_arenaMode_crab_swim_loop_02		55235
	645791018	ror2_arenaMode_crab_VO_idle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_arenaMode_crab_VO_idle_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_arenaCrab\arenaCrab\arenaCrab_VO\arenaCrab_idle_VO\ror2_arenaMode_crab_VO_idle_03		24303
