In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15511887	Mob_vermin_impact_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_07_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_07		4336
	53472126	MOB_blindVermin_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_spawn_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_spawn\MOB_blindVermin_spawn_01		27127
	90827164	MOB_blindVermin_step_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_10_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_10		2664
	92610127	MOB_blindVermin_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_06_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_06		2661
	93979231	MOB_blindVermin_death_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_death_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_death\MOB_blindVermin_death_02		14940
	101233033	MOB_blindVermin_death_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_death_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_death\MOB_blindVermin_death_04		12963
	149074357	MOB_blindVermin_attack1_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_attack1_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_attack1_bite\MOB_blindVermin_attack1_04		12927
	153929469	MOB_blindVermin_attack1_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_attack1_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_attack1_bite\MOB_blindVermin_attack1_02		13270
	160112637	MOB_blindVermin_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_02_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_02		2464
	202948893	Mob_vermin_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_01		4451
	238681663	MOB_blindVermin_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_death_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_death\MOB_blindVermin_death_01		12060
	275880947	MOB_blindVermin_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_01_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_01		2706
	295141741	Mob_vermin_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_05		4211
	355899352	MOB_blindVermin_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_03_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_03		2564
	360433088	MOB_blindVermin_step_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_07_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_07		2613
	375635875	MOB_blindVermin_step_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_04_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_04		2584
	407128978	MOB_blindVermin_idle_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_idle_VO_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_VO\blindVermin_idle_VO\MOB_blindVermin_idle_VO_02		16747
	415011248	MOB_blindVermin_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_idle_VO_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_VO\blindVermin_idle_VO\MOB_blindVermin_idle_VO_01		21756
	424570036	Mob_vermin_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_02		3960
	427847967	MOB_blindVermin_idle_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_idle_VO_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_VO\blindVermin_idle_VO\MOB_blindVermin_idle_VO_04		15891
	475449525	MOB_blindVermin_death_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_death_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_death\MOB_blindVermin_death_05		12334
	482603856	Mob_vermin_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_04		4307
	523717158	MOB_blindVermin_attack1_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_attack1_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_attack1_bite\MOB_blindVermin_attack1_03		14837
	613925455	MOB_blindVermin_attack1_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_attack1_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_attack1_bite\MOB_blindVermin_attack1_01		15926
	686215779	MOB_blindVermin_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_step_05_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_step\MOB_blindVermin_step_05		2652
	759515978	Mob_vermin_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Mob_vermin_impact_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_impact\Mob_vermin_impact_03		4284
	790577300	MOB_blindVermin_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_spawn_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_spawn\MOB_blindVermin_spawn_02		22218
	820352103	MOB_blindVermin_death_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\MOB_blindVermin_death_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_blindVermin\BlindVermin\blindVermin_death\MOB_blindVermin_death_03		16336
