In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	25080295	clayBruiser_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_step\clayBruiser_step_01		22938
	38991917	clayBruiser_attack1_shoot_flyby_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack1_shoot_flyby_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack1_shoot_flyby\clayBruiser_attack1_shoot_flyby_06		4401
	63992445	clayBruiser_attack1_shoot_flyby_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack1_shoot_flyby_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack1_shoot_flyby\clayBruiser_attack1_shoot_flyby_02		4317
	68557022	clayBruiser_attack2_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack2_shoot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack2_shoot\clayBruiser_attack2_shoot_04		41675
	76678875	clayBruiser_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_impact\clayBruiser_impact_05		12660
	87253073	clayBruiser_attack1_shoot_bullet_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack1_shoot_bullet_v2_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack1_shoot_bullet\clayBruiser_attack1_shoot_bullet_v2_01		7786
	103010837	clayBruiser_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_impact\clayBruiser_impact_04		13944
	117639422	clayBruiser_attack1_shoot_flyby_15	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack1_shoot_flyby_15_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack1_shoot_flyby\clayBruiser_attack1_shoot_flyby_15		4463
	169169122	clayBruiser_attack1_shoot_bullet_v2_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack1_shoot_bullet_v2_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack1_shoot_bullet\clayBruiser_attack1_shoot_bullet_v2_05		9484
	170276551	clayBruiser_attack2_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\clayBruiser_attack2_shoot_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_clayBruiser\clayBruiser\clayBruiser_attack2_shoot\clayBruiser_attack2_shoot_02		34925
