In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	20767767	ror2_lunar_exploder_m1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_m1_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_attack1_shoot_impact\ror2_lunar_exploder_m1_impact_04		9837
	45713169	ror2_lunar_exploder_idle_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_idle_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_idle_loop\ror2_lunar_exploder_idle_02		29672
	73577308	ror2_lunar_exploder_idle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_idle_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_idle_loop\ror2_lunar_exploder_idle_03		34801
	76206141	ror2_lunar_exploder_step_small_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_step_small_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_step\ror2_lunar_exploder_step_small_06		3842
	138445905	ror2_lunar_exploder_step_heavy_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_step_heavy_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_step_heavy\ror2_lunar_exploder_step_heavy_01		9007
	154246963	ror2_lunar_exploder_m1_shoot_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_m1_shoot_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_attack1_shoot_bullet\ror2_lunar_exploder_m1_shoot_06		18504
	200889696	ror2_lunar_exploder_m1_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_m1_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_attack1_shoot_impact\ror2_lunar_exploder_m1_impact_01		10584
	294331835	ror2_lunar_exploder_m1_shoot_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_m1_shoot_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_attack1_shoot_bullet\ror2_lunar_exploder_m1_shoot_05		18368
	350621709	ror2_lunar_exploder_death_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_death_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_death\ror2_lunar_exploder_death_03		62304
	359022111	ror2_lunar_exploder_step_heavy_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_step_heavy_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_step_heavy\ror2_lunar_exploder_step_heavy_06		9181
	397946384	ror2_lunar_exploder_m1_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_m1_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_attack1_shoot_bullet\ror2_lunar_exploder_m1_shoot_03		13998
	408523854	ror2_lunar_exploder_step_small_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_step_small_03_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_step\ror2_lunar_exploder_step_small_03		2789
	456274729	ror2_lunar_exploder_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_lunar_exploder_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarExploder\lunar_exploder\lunar_exploder_spawn\ror2_lunar_exploder_spawn_01		32020
