In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24560655	lunar_golem_m1_launch_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_m1_launch_03_CC74A5CC.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_attack1_launch\lunar_golem_m1_launch_03		32038
	77863899	lunar_golem_m1_charge_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_m1_charge_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_attack1_charge\lunar_golem_m1_charge_01		42232
	87897012	lunar_golem_impact_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_impact_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_impact\lunar_golem_impact_06		10245
	94454740	lunar_golem_m1_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_m1_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_attack1_explode\lunar_golem_m1_explode_01		25138
	124467010	lunar_golem_m1_explode_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_m1_explode_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_attack1_explode\lunar_golem_m1_explode_04		23033
	124795555	lunar_golem_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_impact\lunar_golem_impact_02		15243
	132772892	lunar_golem_idle_VO_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_idle_VO_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_VO\lunar_golem_idle_VO\lunar_golem_idle_VO_06		38766
	177598016	lunar_golem_step_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_step_07_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_step\lunar_golem_step_07		13534
	207568814	lunar_golem_death_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_death_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_death\lunar_golem_death_02		78507
	222884876	lunar_golem_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_golem_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarGolem\lunar_golem\lunar_golem_spawn\lunar_golem_spawn_01		53371
