In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17039460	ror2_mon_lunar_wisp_attack2_chargeLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack2_chargeLoop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack2_chargeLoop\ror2_mon_lunar_wisp_attack2_chargeLoop_03		17202
	27480281	ror2_mon_lunar_wisp_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_impact\ror2_mon_lunar_wisp_impact_02		16559
	65802330	ror2_mon_lunar_wisp_attack1_shoot_bullet_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack1_shoot_bullet_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack1_shoot_bullet\ror2_mon_lunar_wisp_attack1_shoot_bullet_05		9371
	68084455	ror2_mon_lunar_wisp_attack1_shootLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack1_shootLoop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack1_shootLoop\ror2_mon_lunar_wisp_attack1_shootLoop_01		50201
	75788186	ror2_mon_lunar_wisp_idle_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_idle_VO_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_VO\lunar_wisp_idle_VO\ror2_mon_lunar_wisp_idle_VO_02		33638
	86579511	ror2_mon_lunar_wisp_attack_wind_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack_wind_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack1_windLoop\ror2_mon_lunar_wisp_attack_wind_loop_03		16217
	99082715	ror2_mon_lunar_wisp_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_impact\ror2_mon_lunar_wisp_impact_01		23774
	110522809	ror2_mon_lunar_wisp_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_impact\ror2_mon_lunar_wisp_impact_04		14724
	110696398	ror2_mon_lunar_wisp_attack1_shootLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack1_shootLoop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack1_shootLoop\ror2_mon_lunar_wisp_attack1_shootLoop_03		50492
	133244402	ror2_mon_lunar_wisp_attack1_shoot_bullet_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_lunar_wisp_attack1_shoot_bullet_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_lunarWisp\lunar_wisp\lunar_wisp_attack1_shoot_bullet\ror2_mon_lunar_wisp_attack1_shoot_bullet_04		7865
