In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16584001	ror2_miniMushroom_VO_idle_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_VO_idle_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_VO\minimushroom_idle_VO\ror2_miniMushroom_VO_idle_02		17458
	50853307	ror2_miniMushroom_spore_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_explode\ror2_miniMushroom_spore_explode_01		39259
	110387137	ror2_miniMushroom_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_impact\ror2_miniMushroom_impact_03		6067
	129216370	ror2_miniMushroom_spore_gasCloud_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_gasCloud_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_gasCloud_loop\ror2_miniMushroom_spore_gasCloud_loop_01		51498
	242541402	ror2_miniMushroom_death_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_death_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_death\ror2_miniMushroom_death_04		14883
	260474700	ror2_miniMushroom_spore_explode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_explode_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_explode\ror2_miniMushroom_spore_explode_03		37512
	283301834	ror2_miniMushroom_burrow_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_burrow_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\ror2_miniMushroom_burrow_01		20829
	311524981	ror2_miniMushroom_VO_idle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_VO_idle_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_VO\minimushroom_idle_VO\ror2_miniMushroom_VO_idle_03		15110
	349836593	ror2_miniMushroom_selfHeal_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_selfHeal_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\ror2_miniMushroom_selfHeal_loop_01		72533
	410836801	ror2_miniMushroom_impact_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_impact_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_impact\ror2_miniMushroom_impact_06		6562
	414213484	ror2_miniMushroom_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_step_05_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_step\ror2_miniMushroom_step_05		5878
	433220795	ror2_miniMushroom_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_step_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_step\ror2_miniMushroom_step_06		5881
	487648783	ror2_miniMushroom_VO_idle_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_VO_idle_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_VO\minimushroom_idle_VO\ror2_miniMushroom_VO_idle_01		16926
	533872347	ror2_miniMushroom_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_impact\ror2_miniMushroom_impact_05		9827
	545823650	ror2_miniMushroom_step_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_step_07_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_step\ror2_miniMushroom_step_07		5834
	612525951	ror2_miniMushroom_spore_explode_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_explode_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_explode\ror2_miniMushroom_spore_explode_02		32657
	652734527	ror2_miniMushroom_step_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_step_04_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_step\ror2_miniMushroom_step_04		6091
	704041088	ror2_miniMushroom_spore_chargeUp_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_chargeUp_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_chargeUp\ror2_miniMushroom_spore_chargeUp_01		56374
	720886689	ror2_miniMushroom_death_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_death_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_death\ror2_miniMushroom_death_02		15722
	743930086	ror2_miniMushroom_VO_idle_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_VO_idle_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_VO\minimushroom_idle_VO\ror2_miniMushroom_VO_idle_04		14835
	750552634	ror2_miniMushroom_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spawn_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spawn\ror2_miniMushroom_spawn_02		17640
	753541285	ror2_miniMushroom_spore_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_shoot\ror2_miniMushroom_spore_shoot_03		19071
	800185472	ror2_miniMushroom_spore_chargeUp_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_spore_chargeUp_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_spore_chargeUp\ror2_miniMushroom_spore_chargeUp_03		64871
	823411343	ror2_miniMushroom_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_miniMushroom_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_MiniMushroom\MiniMushroom\minimushroom_impact\ror2_miniMushroom_impact_04		7799
