In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	71386416	ror2_mob_minorConstruct_attack_open_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_open_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_bodyOpen\ror2_mob_minorConstruct_attack_open_03		21494
	94296185	ror2_mob_minorConstruct_attack_open_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_open_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_bodyOpen\ror2_mob_minorConstruct_attack_open_01		22747
	108826132	ror2_mob_minorConstruct_attack_explode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_explode_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_explode\ror2_mob_minorConstruct_attack_explode_03		25423
	120340876	ror2_mob_minorConstruct_hide_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_hide_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_hide\ror2_mob_minorConstruct_hide_03		11502
	207137305	ror2_mob_minorConstruct_death_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_death_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_death\ror2_mob_minorConstruct_death_02		42577
	272494718	ror2_mob_minorConstruct_VO_idle_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_VO_idle_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_VO_idle\ror2_mob_minorConstruct_VO_idle_04		23300
	277130677	ror2_mob_minorConstruct_attack_chargeUp_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_chargeUp_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_chargeUp\ror2_mob_minorConstruct_attack_chargeUp_02		11779
	321101469	ror2_mob_minorConstruct_attack_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_shoot_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_shoot\ror2_mob_minorConstruct_attack_shoot_03		19862
	341006508	ror2_mob_minorConstruct_hide_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_hide_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_hide\ror2_mob_minorConstruct_hide_01		10857
	343185162	ror2_mob_minorConstruct_attack_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_minorConstruct_attack_shoot_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_minorConstruct\minorConstruct\minorConstruct_attack_shoot\ror2_mob_minorConstruct_attack_shoot_02		19963
