In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3030950	RoR2_Nullifier_VO_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_VO_10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_VO\nullifier_idle_VO\RoR2_Nullifier_VO_10		30717
	58825406	RoR2_Nullifier_VO_13	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_VO_13_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_VO\nullifier_idle_VO\RoR2_Nullifier_VO_13		19986
	83884626	RoR2_nullifier_death_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_nullifier_death_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_death_vortex_explode\RoR2_nullifier_death_explode_01		40657
	84228339	RoR2_nullifier_death_vortex_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_nullifier_death_vortex_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_death_vortex_loop\RoR2_nullifier_death_vortex_01		40037
	98461338	RoR2_Nullifier_VO_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_VO_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_VO\nullifier_idle_VO\RoR2_Nullifier_VO_07		27575
	129131117	RoR2_Nullifier_Footstep_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_Footstep_08_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_step\RoR2_Nullifier_Footstep_08		8165
	138938164	RoR2_Nullifier_Footstep_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_Footstep_02_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_step\RoR2_Nullifier_Footstep_02		7234
	177872192	RoR2_nullifier_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_nullifier_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_impact\RoR2_nullifier_impact_04		6449
	192708663	RoR2_Nullifier_Footstep_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_Footstep_10_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_step\RoR2_Nullifier_Footstep_10		7345
	195739710	RoR2_nullifier_attack1_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_nullifier_attack1_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_attack1_explode\RoR2_nullifier_attack1_explode_01		15088
	235336011	RoR2_nullifier_attack1_explode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_nullifier_attack1_explode_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_attack1_explode\RoR2_nullifier_attack1_explode_03		14257
	259600035	RoR2_Nullifier_Footstep_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Nullifier_Footstep_07_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_nullifier\nullifier\nullifier_step\RoR2_Nullifier_Footstep_07		7028
