In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	23527257	ror2_mob_parent_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_death_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_death\ror2_mob_parent_death_01		56131
	46676807	ror2_mob_parent_attack1_slam_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_attack1_slam_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_attack1_slam\ror2_mob_parent_attack1_slam_01		27006
	170724810	ror2_mob_parent_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_step_03_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_step\ror2_mob_parent_step_03		11388
	186741064	ror2_mob_parent_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_step\ror2_mob_parent_step_01		11389
	252826540	ror2_mob_parent_VO_idle_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_VO_idle_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_VO\parent_idle_VO\ror2_mob_parent_VO_idle_04		45393
	371492596	ror2_mob_parent_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_impact\ror2_mob_parent_impact_03		6373
	375019210	ror2_mob_parent_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_impact\ror2_mob_parent_impact_01		4590
	414893695	ror2_mob_parent_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_impact\ror2_mob_parent_impact_02		4849
	464430008	ror2_mob_parent_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_impact\ror2_mob_parent_impact_05		5780
	540227680	ror2_mob_parent_attack1_charge_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_parent_attack1_charge_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_parent\parent\parent_attack1_windUp\ror2_mob_parent_attack1_charge_02		26547
