In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	142881000	ror2_mob_voidBarnacle_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_death_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_death\ror2_mob_voidBarnacle_death_01		30290
	181679631	ror2_mob_voidBarnacle_m1_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_m1_shoot_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_m1_shoot\ror2_mob_voidBarnacle_m1_shoot_04		38914
	218389864	ror2_mob_voidBarnacle_death_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_death_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_death\ror2_mob_voidBarnacle_death_03		25233
	245769508	ror2_mob_voidBarnacle_m1_chargeup_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_m1_chargeup_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_m1_chargeUp\ror2_mob_voidBarnacle_m1_chargeup_02		32983
	315071670	ror2_mob_voidBarnacle_m1_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_m1_shoot_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_m1_shoot\ror2_mob_voidBarnacle_m1_shoot_01		33427
	349169389	ror2_mob_voidBarnacle_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_spawn_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_spawn\ror2_mob_voidBarnacle_spawn_01		53605
	380873699	ror2_mob_voidBarnacle_idle_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_idle_VO_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_VO\voidBarnacle_idle_VO\ror2_mob_voidBarnacle_idle_VO_03		47069
	496114586	ror2_mob_voidBarnacle_spawn_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_spawn_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_spawn\ror2_mob_voidBarnacle_spawn_03		50341
	511584905	ror2_mob_voidBarnacle_m1_chargeup_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_m1_chargeup_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_m1_chargeUp\ror2_mob_voidBarnacle_m1_chargeup_01		31761
	520965672	ror2_mob_voidBarnacle_m1_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidBarnacle_m1_impact_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidBarnacle\voidBarnacle\voidBarnacle_m1_impact\ror2_mob_voidBarnacle_m1_impact_02		24771
