In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30118246	ror2_mob_voidDevastator_m2_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_m2_shoot_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_m2_shoot\ror2_mob_voidDevastator_m2_shoot_02		49950
	65874572	ror2_mob_voidDevastator_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_step_06_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_step\ror2_mob_voidDevastator_step_06		12267
	81080477	ror2_mob_voidDevastator_spawnPortal_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_spawnPortal_loop_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_spawn_loop\ror2_mob_voidDevastator_spawnPortal_loop_04		27273
	82286443	ror2_mob_voidDevastator_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_step_02_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_step\ror2_mob_voidDevastator_step_02		11933
	105989441	ror2_mob_voidDevastator_m1_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_m1_shoot_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_m1_shoot\ror2_mob_voidDevastator_m1_shoot_04		15736
	110421434	ror2_mob_voidDevastator_m1_stick_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_m1_stick_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_m1_stick\ror2_mob_voidDevastator_m1_stick_03		8525
	153526896	ror2_mob_voidDevastator_spawnPortal_close_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_spawnPortal_close_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_spawn_close\ror2_mob_voidDevastator_spawnPortal_close_03		28840
	165117779	ror2_mob_voidDevastator_m2_chargeUp_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_m2_chargeUp_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_m2_chargeUp\ror2_mob_voidDevastator_m2_chargeUp_02		26490
	219341799	ror2_mob_voidDevastator_impact_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_impact_07_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_impact\ror2_mob_voidDevastator_impact_07		8192
	227516665	ror2_mob_voidDevastator_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidDevastator_impact_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidDevastator\voidDevastator\voidDevastator_impact\ror2_mob_voidDevastator_impact_02		5604
