In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5759477	ror2_mob_voidJailer_m1_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m1_impact_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m1_impact\ror2_mob_voidJailer_m1_impact_01		16605
	20603280	ror2_mob_voidJailer_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_idle_VO_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_idle_VO\ror2_mob_voidJailer_idle_VO_01		53325
	24597678	ror2_mob_voidJailer_m1_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m1_impact_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m1_impact\ror2_mob_voidJailer_m1_impact_03		14919
	46254363	ror2_mob_voidJailer_m2_chargeUp_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m2_chargeUp_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m2_chargeUp\ror2_mob_voidJailer_m2_chargeUp_03		14390
	58801436	ror2_mob_voidJailer_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_step_05_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_sprint\ror2_mob_voidJailer_step_05		6546
	61638083	ror2_mob_voidJailer_m1_chargeUp_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m1_chargeUp_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m1_chargeUp\ror2_mob_voidJailer_m1_chargeUp_01		32070
	66991970	ror2_mob_voidJailer_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_spawn_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_spawn\ror2_mob_voidJailer_spawn_02		47267
	99792716	ror2_mob_voidJailer_death_bodyfall_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_bodyfall_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death_bodyfall\ror2_mob_voidJailer_death_bodyfall_04		19287
	100390688	ror2_mob_voidJailer_spawn_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_spawn_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_spawn\ror2_mob_voidJailer_spawn_03		46151
	122035397	ror2_mob_voidJailer_m2_chargeUp_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m2_chargeUp_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m2_chargeUp\ror2_mob_voidJailer_m2_chargeUp_01		14855
	166493257	ror2_mob_voidJailer_death_start_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_start_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death\ror2_mob_voidJailer_death_start_02		102759
	191180723	ror2_mob_voidJailer_idle_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_idle_VO_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_idle_VO\ror2_mob_voidJailer_idle_VO_02		69476
	200809064	ror2_mob_voidJailer_m1_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m1_shoot_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m1_shoot\ror2_mob_voidJailer_m1_shoot_02		26700
	212958195	ror2_mob_voidJailer_m2_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m2_impact_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m2_grappleImpact\ror2_mob_voidJailer_m2_impact_02		10553
	222342016	ror2_mob_voidJailer_spawn_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_spawn_VO_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_spawn_VO\ror2_mob_voidJailer_spawn_VO_02		65537
	240050892	ror2_mob_voidJailer_m1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_m1_impact_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_m1_impact\ror2_mob_voidJailer_m1_impact_04		17155
	240434835	ror2_mob_voidJailer_death_start_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_start_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death\ror2_mob_voidJailer_death_start_04		113042
	241070930	ror2_mob_voidJailer_death_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_VO_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_death_VO\ror2_mob_voidJailer_death_VO_03		52659
	248740427	ror2_mob_voidJailer_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_step_02_82BEE086.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_sprint\ror2_mob_voidJailer_step_02		8839
	283245102	ror2_mob_voidJailer_death_bodyfall_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_bodyfall_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death_bodyfall\ror2_mob_voidJailer_death_bodyfall_01		16852
	295322763	ror2_mob_voidJailer_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_impact_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_impact\ror2_mob_voidJailer_impact_05		12600
	344115858	ror2_mob_voidJailer_death_explode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_explode_03_BC92A2D4.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death_vortex_explode\ror2_mob_voidJailer_death_explode_03		37290
	361426350	ror2_mob_voidJailer_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_impact_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_impact\ror2_mob_voidJailer_impact_04		11080
	394013292	ror2_mob_voidJailer_idle_VO_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_idle_VO_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_idle_VO\ror2_mob_voidJailer_idle_VO_05		60569
	397725997	ror2_mob_voidJailer_death_start_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_start_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death\ror2_mob_voidJailer_death_start_03		103323
	397994461	ror2_mob_voidJailer_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_spawn_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_spawn\ror2_mob_voidJailer_spawn_01		45189
	415008558	ror2_mob_voidJailer_death_bodyfall_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_death_bodyfall_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_death_bodyfall\ror2_mob_voidJailer_death_bodyfall_02		15974
	438991116	ror2_mob_voidJailer_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_impact_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_impact\ror2_mob_voidJailer_impact_01		12118
	451310859	ror2_mob_voidJailer_idle_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mob_voidJailer_idle_VO_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_voidJailer\voidJailer\voidJailer_VO\voidJailer_idle_VO\ror2_mob_voidJailer_idle_VO_04		61195
