In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	37232471	ror2_mon_vulture_attack1_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_attack1_shoot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_attack1_shoot\ror2_mon_vulture_attack1_shoot_04		18285
	42072491	ror2_mon_vulture_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_step_02_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_step\ror2_mon_vulture_step_02		6088
	67600285	ror2_mon_vulture_wingFlap_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_wingFlap_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_wingFlap\ror2_mon_vulture_wingFlap_01		23635
	70506470	ror2_mon_vulture_death_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_death_VO_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_death_VO\ror2_mon_vulture_death_VO_04		32743
	80729680	ror2_mon_vulture_idle_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_idle_VO_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_idle_VO\ror2_mon_vulture_idle_VO_01		22351
	92792221	ror2_mon_vulture_death_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_death_VO_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_death_VO\ror2_mon_vulture_death_VO_02		32657
	115933805	ror2_mon_vulture_attack1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_attack1_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_attack1_impact\ror2_mon_vulture_attack1_impact_04		5337
	120781776	ror2_mon_vulture_attack1_flight_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_attack1_flight_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_attack1_flightLoop\ror2_mon_vulture_attack1_flight_loop_01		39202
	137554533	ror2_mon_vulture_death_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_death_VO_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_death_VO\ror2_mon_vulture_death_VO_03		31384
	139987997	ror2_mon_vulture_step_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_step_08_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_step\ror2_mon_vulture_step_08		6721
	140155879	ror2_mon_vulture_step_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_step_07_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_step\ror2_mon_vulture_step_07		6299
	141649719	ror2_mon_vulture_idle_VO_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_idle_VO_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_idle_VO\ror2_mon_vulture_idle_VO_06		32202
	150900269	ror2_mon_vulture_attack1_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_attack1_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_attack1_shoot\ror2_mon_vulture_attack1_shoot_03		17014
	167570558	ror2_mon_vulture_takeHit_VO_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_takeHit_VO_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_takehit_VO\ror2_mon_vulture_takeHit_VO_02		17036
	175592793	ror2_mon_vulture_attack1_VO_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_mon_vulture_attack1_VO_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Small Mobs\Mob_vulture\vulture\vulture_VO\vulture_attack_VO\ror2_mon_vulture_attack1_VO_04		16917
