In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	53801422	elite_antiHeal_turret_shot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_shot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antHeal_turret_shot\elite_antiHeal_turret_shot_04		13604
	97034632	elite_antiHeal_turret_die_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_die_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_turret_die_01		47164
	176459726	elite_antiHeal_urchin_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_urchin_spawn_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_urchin_spawn\elite_antiHeal_urchin_spawn_02		30129
	239812769	elite_antiHeal_urchin_land_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_urchin_land_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_urchin_land\elite_antiHeal_urchin_land_03		49067
	267977003	elite_antiHeal_turret_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_turret_spawn_01		43715
	342296571	elite_antiHeal_turret_shot_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_shot_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antHeal_turret_shot\elite_antiHeal_turret_shot_05		11113
	365360037	elite_antiHeal_urchin_land_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_urchin_land_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_urchin_land\elite_antiHeal_urchin_land_01		51432
	385913326	elite_antiHeal_urchinActive_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_urchinActive_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antiHeal_urchin_activeLoop\elite_antiHeal_urchinActive_loop_01		106245
	418797018	elite_antiHeal_turret_shot_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_shot_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antHeal_turret_shot\elite_antiHeal_turret_shot_06		10487
	433734696	elite_antiHeal_turret_shot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_antiHeal_turret_shot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_antiHealing\elite_antHeal_turret_shot\elite_antiHeal_turret_shot_01		14647
