In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6367358	ror2_char_acrid_m2_bite_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_acrid_m2_bite_shoot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_m2_bite_shoot\ror2_char_acrid_m2_bite_shoot_04		9334
	18036803	RoR2_char_acrid_step_walk_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_step_walk_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_step\RoR2_char_acrid_step_walk_02		6391
	19546098	RoR2_char_acrid_step_walk_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_step_walk_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_step\RoR2_char_acrid_step_walk_06		7095
	29375755	RoR2_char_acrid_step_walk_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_step_walk_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_step\RoR2_char_acrid_step_walk_04		7971
	51551045	RoR2_char_acrid_m1_slash_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_m1_slash_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_m1_slash\RoR2_char_acrid_m1_slash_04		6665
	62069674	RoR2_char_acrid_m1_slash_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_m1_slash_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_m1_slash\RoR2_char_acrid_m1_slash_02		7008
	70003443	RoR2_char_acrid_shift_land_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_shift_land_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_shift_land\RoR2_char_acrid_shift_land_03		18977
	85386703	RoR2_char_acrid_R_infect_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_R_infect_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_R_infect\RoR2_char_acrid_R_infect_04		8117
	101452160	RoR2_char_acrid_shift_jump_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_shift_jump_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_shift_jump\RoR2_char_acrid_shift_jump_02		10276
	107048491	RoR2_char_acrid_step_sprint_hand_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_step_sprint_hand_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_step_sprint_hand\RoR2_char_acrid_step_sprint_hand_07		5126
	114405435	RoR2_char_acrid_m1_hit_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_char_acrid_m1_hit_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_acrid\acrid\acrid_m1_hit\RoR2_char_acrid_m1_hit_02		5752
