In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10009917	ror2_bandit2_m2_alt_throw_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m2_alt_throw_04_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m2_alt_throw\ror2_bandit2_m2_alt_throw_04		7258
	16706511	ror2_bandit2_m2_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m2_impact_01_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m2_impact\ror2_bandit2_m2_impact_01		10258
	20411412	ror2_bandit2_m1_shotgun_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m1_shotgun_03_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m1_shotgun\ror2_bandit2_m1_shotgun_03		20081
	34739710	ror2_bandit2_R_kill_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_R_kill_01_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_R_kill\ror2_bandit2_R_kill_01		23161
	67007754	ror2_bandit2_step_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_step_08_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_step\ror2_bandit2_step_08		4224
	84972235	bandit_shift_loop_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\bandit_shift_loop_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_shift_loop\bandit_shift_loop_05		15754
	108022766	ror2_bandit2_m2_alt_throw_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m2_alt_throw_02_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m2_alt_throw\ror2_bandit2_m2_alt_throw_02		6985
	141916809	ror2_bandit2_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_step_03_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_step\ror2_bandit2_step_03		4827
	144119628	ror2_bandit2_m1_reload_finish_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m1_reload_finish_03_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m1_reload_finish\ror2_bandit2_m1_reload_finish_03		8331
	144497706	ror2_bandit2_step_sprint_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_step_sprint_02_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_step_sprint\ror2_bandit2_step_sprint_02		3409
	177649292	ror2_bandit2_m2_slash_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m2_slash_04_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m2_slash\ror2_bandit2_m2_slash_04		6586
	192419345	ror2_bandit2_m2_slash_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_m2_slash_01_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_m2_slash\ror2_bandit2_m2_slash_01		6659
	194547962	ror2_bandit2_R_fire_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_bandit2_R_fire_04_-10_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_bandit2\bandit2\bandit2_R_fire\ror2_bandit2_R_fire_04		18132
