In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9924736	captain_step_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_step_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\steps\captain_step\captain_step_07		7921
	19128778	ror2_char_captain_m1_shotgun_reload_v2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m1_shotgun_reload_v2_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m1_shotgun\captain_m1_reload\ror2_char_captain_m1_shotgun_reload_v2_02		13212
	20157314	ror2_char_captain_m1_shotgun_shootTight_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m1_shotgun_shootTight_v2_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m1_shotgun\captain_m1_shotgun_shootTight\ror2_char_captain_m1_shotgun_shootTight_v2_01		25301
	27733289	captain_drone_quick_move_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_drone_quick_move_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\drone\captain_drone_quick_move\captain_drone_quick_move_02		7459
	30314666	captain_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_step_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\steps\captain_step\captain_step_01		10035
	46918821	ror2_char_captain_m1_shotgun_shootWide_v2_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m1_shotgun_shootWide_v2_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m1_shotgun\captain_m1_shootWide\ror2_char_captain_m1_shotgun_shootWide_v2_03		16879
	55800596	ror2_captain_utility_preImpact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_captain_utility_preImpact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\shift_variant\captain_shift_preImpact\ror2_captain_utility_preImpact_02		45727
	61715263	captain_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_step_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\steps\captain_step\captain_step_05		8323
	62881678	captain_m2_tazer_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m2_tazer_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m2_tazer\captain_m2_tazer_shoot\captain_m2_tazer_shoot_03		33085
	66891945	captain_m2_tazer_bounce_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m2_tazer_bounce_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m2_tazer\captain_m2_tazer_bounce\captain_m2_tazer_bounce_04		20487
	71508893	captain_m2_tazer_bounce_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m2_tazer_bounce_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m2_tazer\captain_m2_tazer_bounce\captain_m2_tazer_bounce_02		18718
	74655200	captain_m1_shotgun_chargeStart_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m1_shotgun_chargeStart_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m1_shotgun\captain_m1_chargeStart\captain_m1_shotgun_chargeStart_03		35607
	74816079	ror2_captain_utility_preImpact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_captain_utility_preImpact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\shift_variant\captain_shift_preImpact\ror2_captain_utility_preImpact_03		39860
	89607602	captain_m1_shotgun_charge_loop	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_captain_m1_shotgun_charge_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_captain\captain\m1_shotgun\captain_m1_shotgun_charge_loop		22017
