In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17868703	ror2_char_engi_walkingTurret_laser_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\ror2_char_engi_walkingTurret_laser_loop_01		40406
	101880022	ror2_char_engi_walkingTurret_step_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_step_04_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_step\ror2_char_engi_walkingTurret_step_04		8211
	188994357	ror2_char_engi_walkingTurret_laser_start_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_start_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_start\ror2_char_engi_walkingTurret_laser_start_03		12144
	296313337	ror2_char_engi_walkingTurret_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_step\ror2_char_engi_walkingTurret_step_01		9449
	301392001	ror2_char_engi_walkingTurret_laser_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_start_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_start\ror2_char_engi_walkingTurret_laser_start_01		14390
	326116077	ror2_char_engi_walkingTurret_laser_start_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_start_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_start\ror2_char_engi_walkingTurret_laser_start_04		11583
	327091739	ror2_char_engi_walkingTurret_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_step_02_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_step\ror2_char_engi_walkingTurret_step_02		7716
	369184613	ror2_char_engi_walkingTurret_laser_end_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_end_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_end\ror2_char_engi_walkingTurret_laser_end_02		11305
	596062559	ror2_char_engi_walkingTurret_laser_end_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_end_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_end\ror2_char_engi_walkingTurret_laser_end_04		8894
	623973730	ror2_char_engi_walkingTurret_laser_start_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_engi_walkingTurret_laser_start_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_engi_walkingTurret\Engineer_walkingTurret\engi_R_walkingTurret_laser_start\ror2_char_engi_walkingTurret_laser_start_02		15861
