In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	52988884	ror2_char_heretic_sprint_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_sprint_start_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_sprint_start\ror2_char_heretic_sprint_start_01		12171
	70331890	ror2_char_heretic_sprint_start_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_sprint_start_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_sprint_start\ror2_char_heretic_sprint_start_03		12100
	81744109	ror2_char_heretic_step_sprint_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_sprint_02_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step_sprint\ror2_char_heretic_step_sprint_02		10897
	188439649	ror2_char_heretic_squawk_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_squawk_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_squawk\ror2_char_heretic_squawk_01		23891
	191870541	ror2_char_heretic_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step\ror2_char_heretic_step_06		8383
	369063287	ror2_char_heretic_step_sprint_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_sprint_04_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step_sprint\ror2_char_heretic_step_sprint_04		12378
	376668568	ror2_char_heretic_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_05_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step\ror2_char_heretic_step_05		8402
	452357853	ror2_char_heretic_step_sprint_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_sprint_03_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step_sprint\ror2_char_heretic_step_sprint_03		11647
	515347160	ror2_char_heretic_step_sprint_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_sprint_06_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step_sprint\ror2_char_heretic_step_sprint_06		12929
	516920569	ror2_char_heretic_step_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_heretic_step_01_3DA85706.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_heretic\heretic\heretic_step\ror2_char_heretic_step_01		7935
