In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6683384	ror2_char_loader_m1_swing_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m1_swing_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m1_swing\ror2_char_loader_m1_swing_02		11161
	20911659	ror2_char_loader_step_sprint_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_sprint_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step_sprint\ror2_char_loader_step_sprint_03		12062
	40368590	ror2_char_loader_R_toss_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_R_toss_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\ror2_char_loader_R_toss_01		69663
	87203631	ror2_char_loader_step_sprint_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_sprint_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step_sprint\ror2_char_loader_step_sprint_04		11710
	115072271	ror2_char_loader_shift_release_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_shift_release_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_shift_release\ror2_char_loader_shift_release_02		31709
	137553485	loader_R_variant_slam	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_loader_R_variant_slam_01_D52F5EB2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_R_variant\loader_R_variant_slam		65977
	211415363	ror2_char_loader_m1_swing_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m1_swing_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m1_swing\ror2_char_loader_m1_swing_03		13914
	211616762	ror2_char_loader_R_activate_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_R_activate_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\ror2_char_loader_R_activate_01		59288
	270191789	ror2_char_loader_m2_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m2_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m2_impact\ror2_char_loader_m2_impact_01		15152
	281595074	ror2_char_loader_shift_activate_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_shift_activate_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_shift_activate\ror2_char_loader_shift_activate_04		43950
	301279349	ror2_char_loader_m2_launch_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m2_launch_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m2_launch\ror2_char_loader_m2_launch_04		32452
	312547856	ror2_char_loader_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step\ror2_char_loader_step_03		11886
	325659227	ror2_char_loader_step_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step\ror2_char_loader_step_02		12410
	351057158	ror2_char_loader_m1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m1_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m1_impact\ror2_char_loader_m1_impact_04		11936
	373792223	ror2_char_loader_step_sprint_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_sprint_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step_sprint\ror2_char_loader_step_sprint_02		10443
	377613449	ror2_char_loader_m1_shield_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_m1_shield_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_m1_shield\ror2_char_loader_m1_shield_03		27285
	380581818	ror2_char_loader_step_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_loader_step_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_loader\loader\loader_step\ror2_char_loader_step_04		11716
