In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9683243	ror2_railgunner_shift_explo_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_explo_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_explo\ror2_railgunner_shift_explo_01		44711
	22080624	ror2_railgunner_R_alt_fire_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_alt_fire_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_alt_fire\ror2_railgunner_R_alt_fire_01		44016
	26460804	ror2_railgunner_m1_fire_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m1_fire_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m1_fire\ror2_railgunner_m1_fire_01		16746
	45155594	ror2_railgunner_m2_reload_basic_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_reload_basic_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_reload_basic\ror2_railgunner_m2_reload_basic_03		17895
	46411067	ror2_railgunner_shift_throw_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_throw_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_throw\ror2_railgunner_shift_throw_01		15827
	61716372	ror2_railgunner_R_preFire_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_preFire_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_preFire\ror2_railgunner_R_preFire_04		14706
	83710093	ror2_railgunner_m2_reload_basic_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_reload_basic_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_reload_basic\ror2_railgunner_m2_reload_basic_02		17962
	103914345	ror2_railgunner_step_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_step_10_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step\ror2_railgunner_step_10		9815
	159701045	ror2_railgunner_m1_fire_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m1_fire_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m1_fire\ror2_railgunner_m1_fire_02		17088
	160416930	ror2_railgunner_shift_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_explo_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_explo\ror2_railgunner_shift_explo_04		46348
	170753171	ror2_railgunner_step_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_step_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step\ror2_railgunner_step_05		9058
	190728682	ror2_railgunner_m2_fire_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_fire_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_fire\ror2_railgunner_m2_fire_03		62835
	194343971	ror2_railgunner_sprint_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_sprint_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step_sprint\ror2_railgunner_sprint_05		11752
	201793628	ror2_railgunner_shift_throw_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_throw_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_throw\ror2_railgunner_shift_throw_02		11642
	204437607	ror2_railgunner_R_gun_swap_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_gun_swap_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_gun_swap\ror2_railgunner_R_gun_swap_01		23481
	223269126	ror2_railgunner_shift_alt_explo_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_alt_explo_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_alt_explo\ror2_railgunner_shift_alt_explo_03		33707
	258542785	ror2_railgunner_m1_fire_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m1_fire_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m1_fire\ror2_railgunner_m1_fire_06		23188
	283597215	ror2_railgunner_idle_selectScreen_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_idle_selectScreen_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_selectScreen_idle\ror2_railgunner_idle_selectScreen_02		49392
	285490410	ror2_railgunner_m1_fire_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m1_fire_07_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m1_fire\ror2_railgunner_m1_fire_07		23275
	286008691	ror2_railgunner_sprint_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_sprint_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step_sprint\ror2_railgunner_sprint_01		12712
	295244150	ror2_railgunner_R_alt_fire_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_alt_fire_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_alt_fire\ror2_railgunner_R_alt_fire_02		43230
	324117907	ror2_railgunner_m2_reload_basic_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_reload_basic_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_reload_basic\ror2_railgunner_m2_reload_basic_04		17886
	326832902	ror2_railgunner_sprint_09	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_sprint_09_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step_sprint\ror2_railgunner_sprint_09		12504
	341957198	ror2_railgunner_step_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_step_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step\ror2_railgunner_step_06		8318
	364751388	ror2_railgunner_shift_alt_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_alt_explo_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_alt_explo\ror2_railgunner_shift_alt_explo_04		34127
	372173015	ror2_railgunner_m1_fire_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m1_fire_08_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m1_fire\ror2_railgunner_m1_fire_08		22756
	377605723	ror2_railgunner_step_09	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_step_09_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step\ror2_railgunner_step_09		8908
	384334805	ror2_railgunner_m2_scope_in_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_scope_in_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_scope_in\ror2_railgunner_m2_scope_in_01		18803
	388473823	ror2_railgunner_m2_scope_out_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_scope_out_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_scope_out\ror2_railgunner_m2_scope_out_01		11418
	391419102	ror2_railgunner_shift_land_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_land_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_land\ror2_railgunner_shift_land_03		30359
	401611572	ror2_railgunner_R_preFire_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_preFire_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_preFire\ror2_railgunner_R_preFire_03		14304
	410345361	ror2_railgunner_sprint_10	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_sprint_10_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step_sprint\ror2_railgunner_sprint_10		12527
	444834571	ror2_railgunner_m2_reload_basic_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_m2_reload_basic_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_m2_reload_basic\ror2_railgunner_m2_reload_basic_01		20797
	455432735	ror2_railgunner_step_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_step_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_step\ror2_railgunner_step_03		8747
	460344085	ror2_railgunner_R_rebooting_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_R_rebooting_loop_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_R_gun_rebooting_loop\ror2_railgunner_R_rebooting_loop_01		20509
	480282920	ror2_railgunner_shift_chargeUp_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_railgunner_shift_chargeUp_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_railgunner\railgunner\railgunner_shift_chargeUp\ror2_railgunner_shift_chargeUp_02		18138
