In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	54749262	treeBot_R_constrict_v2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_constrict_v2_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_constrict\treeBot_R_constrict_v2_02		6673
	67411422	treeBot_m1_hit_heal_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_hit_heal_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_m1_hit_heal\treeBot_m1_hit_heal_03		11825
	87921135	ror2_treebot_R_variant_seed_land_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_treebot_R_variant_seed_land_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treebot_R_variant\treeBot_R_variant_seed_land\ror2_treebot_R_variant_seed_land_02		3349
	91859579	ror2_treebot_R_variant_burst_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_treebot_R_variant_burst_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treebot_R_variant\treeBot_R_variant_burst\ror2_treebot_R_variant_burst_04		11054
	95313732	treeBot_R_constrict_v2_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_constrict_v2_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_constrict\treeBot_R_constrict_v2_05		6289
	99593858	treeBot_m1_shoot_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_shoot_v2_01_9CA346E0.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_m1_shoot\treeBot_m1_shoot_v2_01		10410
	108163691	treeBot_R_tether_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_tether_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_tether_01		50945
	136133618	ror2_treebot_R_variant_burst_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_treebot_R_variant_burst_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treebot_R_variant\treeBot_R_variant_burst\ror2_treebot_R_variant_burst_01		14439
	142897485	treeBot_m2_impact_v2_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m2_impact_v2_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_m2_impact\treeBot_m2_impact_v2_03		35972
	145989004	treeBot_sprint_end_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_sprint_end_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_sprint_end\treeBot_sprint_end_01		20731
	150479057	treeBot_m1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_m1_impact\treeBot_m1_impact_04		11725
	160103606	treeBot_shift_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_shift_shoot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_shift_shoot\treeBot_shift_shoot_01		25001
	187710621	treeBot_R_expire_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_expire_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_expire_01		27425
	198290248	treeBot_m1_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_m1_impact\treeBot_m1_impact_03		12688
	201126701	treeBot_R_yank_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_yank_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_yank\treeBot_R_yank_05		33959
	209920394	treeBot_sprint_end_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_sprint_end_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_sprint_end\treeBot_sprint_end_04		20908
	213375487	treeBot_R_activeLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_R_activeLoop_01_D7CF0DB2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_R_activeLoop_01		347429
	213552985	treeBot_shift_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_shift_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_robotPlant\robotPlant\treeBot_shift_shoot\treeBot_shift_shoot_03		28135
