In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	27888727	ror2_char_voidman_shift_start_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_shift_start_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\shift\voidman_shift_start\ror2_char_voidman_shift_start_02		20436
	38091340	ror2_char_voidman_sprint_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_sprint_start_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\steps\voidman_sprint_start\ror2_char_voidman_sprint_start_01		10873
	41895938	ror2_char_voidman_m2_flight_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_m2_flight_loop_02_E0332D5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\m2\voidman_m2_flight_loop\ror2_char_voidman_m2_flight_loop_02		59763
	54716871	ror2_char_voidman_m2_fullCharge_explode_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_m2_fullCharge_explode_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\m2\voidman_m2_fullCharge_explode\ror2_char_voidman_m2_fullCharge_explode_04		40813
	56642260	ror2_char_voidman_shift_start_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_shift_start_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\shift\voidman_shift_start\ror2_char_voidman_shift_start_04		16494
	67477279	ror2_char_voidman_m1_shoot_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_m1_shoot_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\m1\voidman_m1_shoot\ror2_char_voidman_m1_shoot_06		26946
	73042700	ror2_char_voidman_step_sprint_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_step_sprint_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\steps\voidman_step_sprint\ror2_char_voidman_step_sprint_04		8109
	79538961	ror2_char_voidman_m2_small_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_m2_small_impact_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\m2\voidman_m2_small_impact\ror2_char_voidman_m2_small_impact_03		20409
	100795966	ror2_char_voidman_m1_corrupt_end_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_m1_corrupt_end_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\m1\voidman_m1_corrupted_end\ror2_char_voidman_m1_corrupt_end_04		37115
	104389656	ror2_char_voidman_R_activate_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_char_voidman_R_activate_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Characters\CHAR_voidman\voidman\r\voidman_R_activate\ror2_char_voidman_R_activate_04		15872
