In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	106915264	elite_haunt_hauntorb_activeLoop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_hauntorb_activeLoop_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_hauntorb_activeLoop\elite_haunt_hauntorb_activeLoop_04		202750
	117823118	Play_elite_haunt_death_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Play_elite_haunt_death_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\Play_elite_haunt_death\Play_elite_haunt_death_03		59646
	126260321	elite_haunt_hauntorb_activeLoop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_hauntorb_activeLoop_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_hauntorb_activeLoop\elite_haunt_hauntorb_activeLoop_02		206412
	209090516	Play_elite_haunt_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Play_elite_haunt_death_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\Play_elite_haunt_death\Play_elite_haunt_death_01		57685
	241700773	elite_haunt_hauntorb_activeLoop_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_hauntorb_activeLoop_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_hauntorb_activeLoop\elite_haunt_hauntorb_activeLoop_05		208889
	504818057	elite_haunt_ghost_convert_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_02		57112
	668251661	elite_haunt_hauntorb_activeLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_hauntorb_activeLoop_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_hauntorb_activeLoop\elite_haunt_hauntorb_activeLoop_03		204304
	755849589	elite_haunt_ghost_convert_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_01		55405
	831701757	elite_haunt_ghost_convert_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_06		54342
	868119123	elite_haunt_ghost_convert_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_03		60018
	908770447	elite_haunt_ghost_convert_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_05		61808
	911363583	elite_haunt_spawn	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_spawn_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_spawn		86596
	938459292	Play_elite_haunt_death_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\Play_elite_haunt_death_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\Play_elite_haunt_death\Play_elite_haunt_death_02		63713
	955394941	elite_haunt_hauntorb_activeLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_hauntorb_activeLoop_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_hauntorb_activeLoop\elite_haunt_hauntorb_activeLoop_01		207094
	1006291173	elite_haunt_ghost_convert_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\elite_haunt_ghost_convert_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_ghost\elite_haunt_ghost_convert\elite_haunt_ghost_convert_04		56420

