In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12287637	treeBot_m1_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_01_0FF5B475.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_impact\treeBot_m1_impact_01		13617
	21749636	treeBot_m1_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_05_0FF5B475.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_impact\treeBot_m1_impact_05		14768
	81300063	RoR2_Item_needle_fire_v2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_fire_v2_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_shoot\RoR2_Item_needle_fire_v2_02		4897
	131690541	treeBot_m1_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_04_0FF5B475.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_impact\treeBot_m1_impact_04		13390
	155924186	RoR2_Item_needle_fire_v2_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_fire_v2_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_shoot\RoR2_Item_needle_fire_v2_06		5422
	167933139	RoR2_Item_needle_fire_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_fire_v2_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_shoot\RoR2_Item_needle_fire_v2_01		5637
	415678774	RoR2_Item_needle_explode_v2_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_explode_v2_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_explode\RoR2_Item_needle_explode_v2_05		5522
	419193621	RoR2_Item_needle_explode_v2_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_explode_v2_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_explode\RoR2_Item_needle_explode_v2_04		5920
	434868794	treeBot_m1_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\treeBot_m1_impact_02_0FF5B475.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_impact\treeBot_m1_impact_02		15750
	481322205	RoR2_Item_needle_fire_v2_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_fire_v2_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_shoot\RoR2_Item_needle_fire_v2_05		6370
	598710519	RoR2_Item_needle_explode_v2_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_explode_v2_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_explode\RoR2_Item_needle_explode_v2_06		6009
	611973467	RoR2_Item_needle_fire_v2_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\RoR2_Item_needle_fire_v2_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_primaryReplace\item_lunar_primaryReplace\item_lunar_primaryReplace_shoot\RoR2_Item_needle_fire_v2_04		6624
