In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2831975	ror2_item_lunar_secondaryReplace_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_02		5725
	12355678	ror2_item_lunar_secondaryReplace_active_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_active_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_active_loop\ror2_item_lunar_secondaryReplace_active_loop_01		98436
	56700285	ror2_item_lunar_secondaryReplace_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_04		6462
	73345847	ror2_item_lunar_secondaryReplace_activate_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_activate_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_activate\ror2_item_lunar_secondaryReplace_activate_01		38929
	107052816	ror2_item_lunar_secondaryReplace_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_01		5816
	510180737	ror2_item_lunar_secondaryReplace_throw_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_throw_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_throw\ror2_item_lunar_secondaryReplace_throw_01		28869
	693535407	ror2_item_lunar_secondaryReplace_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_explode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_explode\ror2_item_lunar_secondaryReplace_explode_01		36481
	714119189	ror2_item_lunar_secondaryReplace_impact_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_05		6142
	714268556	ror2_item_lunar_secondaryReplace_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_03		5496
	794410564	ror2_item_lunar_secondaryReplace_impact_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_lunar_secondaryReplace_impact_06_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_lunar_secondaryReplace\item_lunar_secondaryReplace\item_lunar_secondaryReplace_impact\ror2_item_lunar_secondaryReplace_impact_06		6216

