In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	58731233	ror2_item_proc_armorReduction_shatter_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_shatter_v2_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_shatter\ror2_item_proc_armorReduction_shatter_v2_01		56456
	76316350	ror2_item_proc_armorReduction_hit_v2_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_hit_v2_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_hit\ror2_item_proc_armorReduction_hit_v2_04		8322
	157115944	ror2_item_proc_armorReduction_shatter_v2_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_shatter_v2_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_shatter\ror2_item_proc_armorReduction_shatter_v2_04		57031
	233693989	ror2_item_proc_armorReduction_shatter_v2_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_shatter_v2_05_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_shatter\ror2_item_proc_armorReduction_shatter_v2_05		63571
	250828820	ror2_item_proc_armorReduction_hit_v2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_hit_v2_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_hit\ror2_item_proc_armorReduction_hit_v2_02		10072
	260611311	ror2_item_proc_armorReduction_shatter_v2_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_shatter_v2_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_shatter\ror2_item_proc_armorReduction_shatter_v2_03		53878
	558834950	ror2_item_proc_armorReduction_hit_v2_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_hit_v2_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_hit\ror2_item_proc_armorReduction_hit_v2_03		8985
	824562138	ror2_item_proc_armorReduction_shatter_v2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_shatter_v2_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_shatter\ror2_item_proc_armorReduction_shatter_v2_02		47931
	877708001	ror2_item_proc_armorReduction_hit_v2_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_proc_armorReduction_hit_v2_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_armorReduction\item_proc_armorReduction_hit\ror2_item_proc_armorReduction_hit_v2_01		10366

