In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	60836622	ror2_item_fireballsOnHit_impact_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_impact_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_impact\ror2_item_fireballsOnHit_impact_02		38555
	245379635	ror2_item_fireballsOnHit_shoot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_shoot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_shoot\ror2_item_fireballsOnHit_shoot_03		22151
	261525613	ror2_item_fireballsOnHit_shoot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_shoot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_shoot\ror2_item_fireballsOnHit_shoot_04		22340
	567712031	ror2_item_fireballsOnHit_aliveLoop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_aliveLoop_02_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_aliveLoop\ror2_item_fireballsOnHit_aliveLoop_02		60781
	570426007	ror2_item_fireballsOnHit_shoot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_shoot_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_shoot\ror2_item_fireballsOnHit_shoot_02		24462
	583082408	ror2_item_fireballsOnHit_pool_aliveLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_pool_aliveLoop_03_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_pool_aliveLoop\ror2_item_fireballsOnHit_pool_aliveLoop_03		119454
	601277591	ror2_item_fireballsOnHit_aliveLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_aliveLoop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_aliveLoop\ror2_item_fireballsOnHit_aliveLoop_01		53257
	686914556	ror2_item_fireballsOnHit_pool_aliveLoop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_pool_aliveLoop_02_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_pool_aliveLoop\ror2_item_fireballsOnHit_pool_aliveLoop_02		126390
	711933202	ror2_item_fireballsOnHit_impact_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_impact_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_impact\ror2_item_fireballsOnHit_impact_03		36109
	757469347	ror2_item_fireballsOnHit_shoot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_shoot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_shoot\ror2_item_fireballsOnHit_shoot_01		30477
	805929559	ror2_item_fireballsOnHit_pool_aliveLoop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_pool_aliveLoop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_pool_aliveLoop\ror2_item_fireballsOnHit_pool_aliveLoop_01		91107
	831142495	ror2_item_fireballsOnHit_impact_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_impact_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_impact\ror2_item_fireballsOnHit_impact_01		36655
	1015306335	ror2_item_fireballsOnHit_impact_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_impact_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_impact\ror2_item_fireballsOnHit_impact_04		38036
	1018557831	ror2_item_fireballsOnHit_aliveLoop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_fireballsOnHit_aliveLoop_03_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_fireballsOnHit\fireballsOnHit_aliveLoop\ror2_item_fireballsOnHit_aliveLoop_03		50500

