In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	176436615	ror2_item_squidTurret_shotExplode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shotExplode_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shotExplode\ror2_item_squidTurret_shotExplode_03		27902
	421869534	ror2_item_squidTurret_shot_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shot_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shoot\ror2_item_squidTurret_shot_02		11042
	468728349	ror2_item_squidTurret_shot_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shot_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shoot\ror2_item_squidTurret_shot_04		18431
	575435666	ror2_item_squidTurret_shotExplode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shotExplode_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shotExplode\ror2_item_squidTurret_shotExplode_01		34586
	702718364	ror2_item_squidTurret_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_spawn_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\ror2_item_squidTurret_spawn_01		16948
	713594873	ror2_item_squidTurret_shot_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shot_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shoot\ror2_item_squidTurret_shot_03		15642
	874277588	ror2_item_squidTurret_shot_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shot_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shoot\ror2_item_squidTurret_shot_01		14408
	979168703	ror2_item_squidTurret_death_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_death_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\ror2_item_squidTurret_death_01		17208
	1067477182	ror2_item_squidTurret_shotExplode_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_item_squidTurret_shotExplode_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\proc\item_proc_squidTurret\item_proc_squidTurret\item_proc_squidTurret_shotExplode\ror2_item_squidTurret_shotExplode_02		27166

