In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30563235	deathProjectile_pulse	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_pulse_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_pulse		20371
	42349976	ror2_equip_deathProjectile_activate_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_activate_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_activate\ror2_equip_deathProjectile_activate_01		36399
	100390596	ror2_equip_deathProjectile_throw_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_throw_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_throw\ror2_equip_deathProjectile_throw_02		22867
	241933465	ror2_equip_deathProjectile_exit_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_exit_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_exit\ror2_equip_deathProjectile_exit_02		17744
	258709164	ror2_equip_deathProjectile_exit_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_exit_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_exit\ror2_equip_deathProjectile_exit_04		18657
	300275172	ror2_equip_deathProjectile_throw_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_throw_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_throw\ror2_equip_deathProjectile_throw_01		18694
	511554543	ror2_equip_deathProjectile_throw_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_throw_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_throw\ror2_equip_deathProjectile_throw_03		15238
	578659677	ror2_equip_deathProjectile_activate_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_activate_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_activate\ror2_equip_deathProjectile_activate_02		36701
	581732335	ror2_equip_deathProjectile_throw_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_throw_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_throw\ror2_equip_deathProjectile_throw_04		26135
	671559042	deathProjectile_activeLoop	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_activeLoop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_activeLoop		73344
	691522882	ror2_equip_deathProjectile_activate_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_activate_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_activate\ror2_equip_deathProjectile_activate_04		37578
	851195040	ror2_equip_deathProjectile_exit_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_exit_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_exit\ror2_equip_deathProjectile_exit_03		16193
	900015831	ror2_equip_deathProjectile_activate_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_activate_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_activate\ror2_equip_deathProjectile_activate_03		36884
	1003904977	ror2_equip_deathProjectile_exit_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_equip_deathProjectile_exit_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_deathProjectile\deathProjectile_exit\ror2_equip_deathProjectile_exit_01		19523

