In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	107901532	item_use_gateway_ride_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_ride_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideLoop\item_use_gateway_ride_loop_01		42968
	147347599	item_use_gateway_vanish_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_create_01_BBC65098.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_vanish_01		39351
	207747900	item_use_gateway_rideEnd_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_rideEnd_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideEnd_01		19345
	300584130	item_use_gateway_ride_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_ride_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideLoop\item_use_gateway_ride_loop_03		48430
	301901830	item_use_gateway_rideStart_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_rideStart_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideStart_01		54393
	405240047	item_use_gateway_ride_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_ride_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideLoop\item_use_gateway_ride_loop_02		40597
	633310503	item_use_gateway_ride_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_ride_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_rideLoop\item_use_gateway_ride_loop_04		48161
	897339903	item_use_gateway_create_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_create_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_create_01		44947
	1056128011	item_use_gateway_active_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_gateway_active_loop_01_A717E084.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_gateway\item_use_gateway_active_loop\item_use_gateway_active_loop_01		20888

