In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17981853	item_use_molotov_fire_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_02		90911
	52653745	item_use_molotov_fire_loop_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_07_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_07		76601
	62695062	item_use_molotov_fire_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_03		66228
	81227749	item_use_molotov_impact_small_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_impact_small_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_impact_small\item_use_molotov_impact_small_03		20349
	121848214	item_use_molotov_impact_small_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_impact_small_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_impact_small\item_use_molotov_impact_small_05		18746
	137000063	item_use_molotov_impact_small_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_impact_small_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_impact_small\item_use_molotov_impact_small_02		18011
	201888639	item_use_molotov_fire_loop_09	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_09_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_09		97501
	232474200	item_use_molotov_fire_loop_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_08_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_08		93741
	260528118	item_use_molotov_throw_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_throw_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_throw\item_use_molotov_throw_02		9748
	272227197	item_use_molotov_fire_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_use_molotov_fire_loop_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\use\item_use_molotov\item_use_molotov_fire_loop\item_use_molotov_fire_loop_01		89678
