In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	127586419	affix_void_bug_infect_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_infect_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_infect\affix_void_bug_infect_05		55550
	210117667	affix_void_bug_spawn_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_spawn_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_spawn\affix_void_bug_spawn_02		75040
	218125337	affix_void_bug_infect_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_infect_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_infect\affix_void_bug_infect_04		42716
	357167128	affix_void_bug_infect_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_infect_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_infect\affix_void_bug_infect_03		44768
	546011137	affix_void_spawn	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_spawn_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_spawn		76434
	551444322	affix_void_bug_infect_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_infect_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_infect\affix_void_bug_infect_02		44192
	561642842	affix_void_bug_infect_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_infect_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_infect\affix_void_bug_infect_01		45009
	631981639	affix_void_bug_loop	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_loop_01_7C0C7E72.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_loop		132393
	882985185	affix_void_bug_spawn_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_spawn_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_spawn\affix_void_bug_spawn_03		72655
	1052938625	affix_void_bug_spawn_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_affix_void_bug_spawn_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Affixes\affix_void\affix_void_bug_spawn\affix_void_bug_spawn_01		74565

