In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	97680536	item_void_bleedOnHit_start_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_03		8959
	147568224	item_void_bleedOnHit_start_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_02		8813
	252574556	item_void_bleedOnHit_start_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_05		10089
	416181867	item_void_bleedOnHit_start_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_01		8485
	419166238	item_void_bleedOnHit_buildUp_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_buildUp_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_buildup\item_void_bleedOnHit_buildUp_01		75861
	507838716	item_void_bleedOnHit_buildUp_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_buildUp_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_buildup\item_void_bleedOnHit_buildUp_03		79067
	618319844	item_void_bleedOnHit_explo_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_explo_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_explo\item_void_bleedOnHit_explo_02		30161
	670738014	item_void_bleedOnHit_explo_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_explo_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_explo\item_void_bleedOnHit_explo_03		35963
	772239507	item_void_bleedOnHit_explo_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_explo_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_explo\item_void_bleedOnHit_explo_01		30203
	779938924	item_void_bleedOnHit_start_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_06		8955
	850505732	item_void_bleedOnHit_start_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_start_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_start\item_void_bleedOnHit_start_04		8568
	895299994	item_void_bleedOnHit_explo_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_explo_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_explo\item_void_bleedOnHit_explo_04		30725
	899988116	item_void_bleedOnHit_buildUp_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_bleedOnHit_buildUp_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_bleedOnHit\item_void_bleedOnHit_buildup\item_void_bleedOnHit_buildUp_02		71108

