In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	163153849	item_void_missle_fire_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fire_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fire\item_void_missle_fire_01		21374
	247603325	item_void_missle_explode_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_explode_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_explode\item_void_missle_explode_03		19345
	259873436	item_void_missle_explode_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_explode_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_explode\item_void_missle_explode_02		25509
	400430489	item_void_missle_explode_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_explode_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_explode\item_void_missle_explode_01		30548
	417471514	item_void_missle_fly_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_05_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_05		19168
	506901871	item_void_missle_explode_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_explode_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_explode\item_void_missle_explode_04		22475
	601554245	item_void_missle_fly_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_02		24520
	649169714	item_void_missle_fly_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_04		17239
	754417505	item_void_missle_fly_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_03		15726
	949874672	item_void_missle_fire_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fire_02_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fire\item_void_missle_fire_02		22926
	957831220	item_void_missle_fire_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fire_04_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fire\item_void_missle_fire_04		19863
	1004359736	item_void_missle_fly_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_06_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_06		17870
	1019028835	item_void_missle_fly_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fly_01_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fly_loop\item_void_missle_fly_01		27142
	1071757864	item_void_missle_fire_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\item_void_missle_fire_03_972DACE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Items\void\item_void_missle\item_void_missle_fire\item_void_missle_fire_03		20945

