In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	33064110	ror2_amb_artifactWorld_wind_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_wind_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\wind loop\ror2_amb_artifactWorld_wind_loop_01		78887
	338453632	ror2_amb_artifactWorld_wind_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_wind_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\wind loop\ror2_amb_artifactWorld_wind_loop_02		78298
	347021007	ror2_amb_artifactWorld_wind_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_wind_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\wind loop\ror2_amb_artifactWorld_wind_loop_04		78856
	359769229	ror2_amb_artifactWorld_base_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_base_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\base loop\ror2_amb_artifactWorld_base_loop_04		67976
	366189171	ror2_amb_artifactWorld_base_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_base_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\base loop\ror2_amb_artifactWorld_base_loop_03		68793
	371124799	ror2_amb_artifactWorld_oneoff_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_oneoff_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\oneoffs\ror2_amb_artifactWorld_oneoff_02		124398
	387362197	ror2_amb_artifactWorld_oneoff_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_oneoff_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\oneoffs\ror2_amb_artifactWorld_oneoff_01		89834
	403830117	ror2_amb_artifactWorld_oneoff_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_oneoff_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\oneoffs\ror2_amb_artifactWorld_oneoff_03		113997
	463663761	ror2_amb_artifactWorld_base_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_base_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\base loop\ror2_amb_artifactWorld_base_loop_01		64938
	488289557	ror2_amb_artifactWorld_base_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_base_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\base loop\ror2_amb_artifactWorld_base_loop_02		67858
	847824052	ror2_amb_artifactWorld_wind_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_wind_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\wind loop\ror2_amb_artifactWorld_wind_loop_03		78352
	1017898837	ror2_amb_artifactWorld_tension_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_artifactWorld_tension_loop_01_548B703C.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_artifactWorld\zone_artifactWorld\ror2_amb_artifactWorld_tension_loop_01		59102

