In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14889126	zoneDampCave_drip_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_drip_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\drip\zoneDampCave_drip_06		140351
	30579813	zoneDampCave_rumble_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_rumble_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\rumble\zoneDampCave_rumble_06		127984
	35227601	zoneDampCave_water_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_water_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\water\zoneDampCave_water_04		157631
	44738372	env_dampCave_crystalLight_loop2_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_dampCave_crystalLight_loop2_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\env_dampCave_crystalLight_loop\env_dampCave_crystalLight_loop2\env_dampCave_crystalLight_loop2_02		43996
	68173755	zoneDampCave_howl_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_howl_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\howl\zoneDampCave_howl_04		102354
	75822015	zoneDampCave_water_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_water_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\water\zoneDampCave_water_05		160251
	110748970	zoneDampCave_howl_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_howl_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\howl\zoneDampCave_howl_03		102101
	113283019	env_dampCave_rockFallDistant_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_dampCave_rockFallDistant_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\rockFallDistant\env_dampCave_rockFallDistant_02		122426
	129283140	zoneDampCave_wind_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_wind_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\wind_drone\zoneDampCave_wind_01		92883
	134794628	env_dampCave_moanDistant_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_dampCave_moanDistant_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\moanDistant\env_dampCave_moanDistant_01		132569
	154279958	env_dampCave_rockFallDistant_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_dampCave_rockFallDistant_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\rockFallDistant\env_dampCave_rockFallDistant_04		97083
	165853107	zoneDampCave_wails_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_wails_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\wails\zoneDampCave_wails_05		109422
	168382311	zoneDampCave_drip_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_drip_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\drip\zoneDampCave_drip_04		139700
	187226853	zoneDampCave_howl_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zoneDampCave_howl_07_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_dampCaveSimple\zone_damp_cave_simple\howl\zoneDampCave_howl_07		118508
