In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	86355889	ror2_amb_zone_rootJungle_woodCreak_oneoff_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_woodCreak_oneoff_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\wood creak oneoffs\ror2_amb_zone_rootJungle_woodCreak_oneoff_05		59963
	114482924	ror2_amb_zone_rootJungle_rain_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_rain_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\rain loop\ror2_amb_zone_rootJungle_rain_loop_04		89642
	115959862	ror2_env_rootJungle_mushroom_bounce_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_rootJungle_mushroom_bounce_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_rootJungle\env_rootJungle_mushroom_bounce\ror2_env_rootJungle_mushroom_bounce_03		28747
	145069946	ror2_amb_zone_rootJungle_base_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_base_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\base loop\ror2_amb_zone_rootJungle_base_loop_03		78937
	167406709	ror2_amb_zone_rootJungle_animal_oneoff_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_animal_oneoff_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\animal oneoffs\ror2_amb_zone_rootJungle_animal_oneoff_03		23084
	178815972	ror2_env_rootJungle_mushroom_bounce_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_rootJungle_mushroom_bounce_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_rootJungle\env_rootJungle_mushroom_bounce\ror2_env_rootJungle_mushroom_bounce_01		29131
	191320286	ror2_amb_zone_rootJungle_base_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_base_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\base loop\ror2_amb_zone_rootJungle_base_loop_02		78845
	193698167	ror2_amb_zone_rootJungle_animal_oneoff_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_animal_oneoff_08_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\animal oneoffs\ror2_amb_zone_rootJungle_animal_oneoff_08		26956
	258248965	ror2_amb_zone_rootJungle_animal_oneoff_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_animal_oneoff_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\animal oneoffs\ror2_amb_zone_rootJungle_animal_oneoff_04		19284
	301354438	ror2_amb_zone_rootJungle_rain_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_rootJungle_rain_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_rootJungle\zone_rootJungle\rain loop\ror2_amb_zone_rootJungle_rain_loop_03		94262
