In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	66035770	ror2_amb_zoneShipGraveyard_whispers_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zoneShipGraveyard_whispers_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_shipGraveyard\zone_shipGraveyard\whispers\ror2_amb_zoneShipGraveyard_whispers_loop_04		103038
	96953484	ror2_env_light_flicker_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_light_flicker_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_shipGraveyard\env_shipGraveyard_light_flicker\ror2_env_light_flicker_04		45168
	105495654	ror2_amb_zoneShipGraveyard_metal_groan_oneoff_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zoneShipGraveyard_metal_groan_oneoff_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_shipGraveyard\zone_shipGraveyard\groan oneoff\ror2_amb_zoneShipGraveyard_metal_groan_oneoff_01		119215
	112209462	ror2_env_light_flicker_08	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_light_flicker_08_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_shipGraveyard\env_shipGraveyard_light_flicker\ror2_env_light_flicker_08		35288
	122913746	rain_med_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\rain_med_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_shipGraveyard\zone_shipGraveyard\rain_med\rain_med_06		63597
	139324265	ror2_env_ship_interior_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_ship_interior_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_shipGraveyard\env_ship_interior_loop\ror2_env_ship_interior_loop_04		132623
	196767558	ror2_env_light_flicker_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_light_flicker_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_shipGraveyard\env_shipGraveyard_light_flicker\ror2_env_light_flicker_01		32902
	210260584	ror2_amb_zoneShipGraveyard_metal_groan_oneoff_07	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zoneShipGraveyard_metal_groan_oneoff_07_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_shipGraveyard\zone_shipGraveyard\groan oneoff\ror2_amb_zoneShipGraveyard_metal_groan_oneoff_07		97599
	211680537	ror2_amb_zoneShipGraveyard_base_loop_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zoneShipGraveyard_base_loop_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_shipGraveyard\zone_shipGraveyard\base loop\ror2_amb_zoneShipGraveyard_base_loop_04		109527
	290217753	ror2_env_ship_interior_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_ship_interior_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_shipGraveyard\env_ship_interior_loop\ror2_env_ship_interior_loop_01		95522
