In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8019947	ror2_env_skyMeadow_laptop_sequence_fail_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_sequence_fail_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\ror2_env_skyMeadow_laptop_sequence_fail_01		88205
	14476646	ror2_env_hiddenLab_TP_VO_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_hiddenLab_TP_VO_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_TP_VO\ror2_env_hiddenLab_TP_VO_01		104074
	17118014	ror2_env_skyMeadow_laptop_active_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_active_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_active_loop\ror2_env_skyMeadow_laptop_active_loop_02		35121
	83430777	ror2_env_skyMeadow_laptop_button_cycle_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_button_cycle_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_button_cycle\ror2_env_skyMeadow_laptop_button_cycle_03		23848
	134949552	ror2_amb_zone_skyMeadow_base_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_skyMeadow_base_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_skyMeadow\zone_skyMeadow\base loop\ror2_amb_zone_skyMeadow_base_01		126085
	155906631	ror2_env_skyMeadow_laptop_sequence_lock_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_sequence_lock_04_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_sequence_lock\ror2_env_skyMeadow_laptop_sequence_lock_04		26415
	207879904	ror2_amb_zone_skyMeadow_oneoff_05	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_skyMeadow_oneoff_05_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_skyMeadow\zone_skyMeadow\wind wisp oneoffs\ror2_amb_zone_skyMeadow_oneoff_05		61522
	220504631	ror2_env_skyMeadow_laptop_active_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_active_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_active_loop\ror2_env_skyMeadow_laptop_active_loop_01		25629
	227199762	ror2_env_hiddenLab_TP_active_loop_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_hiddenLab_TP_active_loop_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_TP_active_loop\ror2_env_hiddenLab_TP_active_loop_01		34015
	264209117	ror2_amb_zone_skyMeadow_oneoff_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_skyMeadow_oneoff_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_skyMeadow\zone_skyMeadow\wind wisp oneoffs\ror2_amb_zone_skyMeadow_oneoff_03		50521
	301655248	ror2_env_skyMeadow_laptop_sequence_lock_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_sequence_lock_02_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_sequence_lock\ror2_env_skyMeadow_laptop_sequence_lock_02		22315
	309520751	ror2_env_hiddenLab_TP_VO_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_hiddenLab_TP_VO_03_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_TP_VO\ror2_env_hiddenLab_TP_VO_03		122994
	365686623	ror2_amb_zone_skyMeadow_oneoff_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_skyMeadow_oneoff_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_skyMeadow\zone_skyMeadow\wind wisp oneoffs\ror2_amb_zone_skyMeadow_oneoff_04		66783
	397726595	ror2_env_skyMeadow_laptop_button_cycle_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_skyMeadow_laptop_button_cycle_01_DDCC57D8.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_laptop_button_cycle\ror2_env_skyMeadow_laptop_button_cycle_01		26268
	450531125	ror2_env_hiddenLab_TP_active_loop_03	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_hiddenLab_TP_active_loop_03_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_TP_active_loop\ror2_env_hiddenLab_TP_active_loop_03		34107
	454014247	ror2_amb_zone_skyMeadow_low_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_amb_zone_skyMeadow_low_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_skyMeadow\zone_skyMeadow\low loop\ror2_amb_zone_skyMeadow_low_02		104487
	463819809	ror2_env_hiddenLab_TP_active_loop_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\ror2_env_hiddenLab_TP_active_loop_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Environment\ENV_skyMeadow\env_hiddenLab_TP_active_loop\ror2_env_hiddenLab_TP_active_loop_02		34576
