In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	62683398	zone_wispGraveyard_wind_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_wind_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\wind\zone_wispGraveyard_wind_06		71828
	91747590	zone_wispGraveyard_chime_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_chime_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\chime\zone_wispGraveyard_chime_06		49954
	107013336	zone_wispGraveyard_ash_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_ash_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\ash\zone_wispGraveyard_ash_01		80140
	232286727	zone_wispGraveyard_air_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_air_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\air\zone_wispGraveyard_air_01		68460
	270666063	zone_wispGraveyard_ash_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_ash_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\ash\zone_wispGraveyard_ash_06		79004
	288107070	zone_wispGraveyard_air_04	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_air_04_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\air\zone_wispGraveyard_air_04		68473
	318302390	zone_wispGraveyard_trees_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_trees_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\trees\zone_wispGraveyard_trees_01		75028
	371362981	env_wind_gust_01	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_wind_gust_01_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\gust_delay\env_wind_gust_01		50560
	396384362	env_wisp_wind_02	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\env_wisp_wind_02_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\wisp_wind_delay\env_wisp_wind_02		90491
	427447734	zone_wispGraveyard_trees_06	D:\SkewSoundP4\WwiseProjects\RiskOfRain2\RoR2_WwiseProject\.cache\Windows\SFX\zone_wispGraveyard_trees_06_F35815EA.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Ambience\AMB_wispGraveyard\zone_wispGraveyard\trees\zone_wispGraveyard_trees_06		71955
